,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.37,1.24,0.7,0.73,0.77,0.68,1.33,1.31,1.47,1.65,1.85,0.61,2.0,1.28,1.38,1.76
e_1,0.72,2.39,0.72,0.84,0.74,0.86,1.49,1.48,2.82,1.72,1.6,1.87,2.05,1.9,0.83,2.16
d_1,0.85,0.72,2.54,0.71,0.71,0.68,1.55,1.2,0.91,2.83,1.83,1.8,2.22,1.77,2.06,2.01
c_1,0.76,0.7,0.79,2.56,1.24,0.67,1.45,1.75,1.52,0.66,1.32,1.48,2.28,1.59,1.61,1.88
b_1,0.72,0.76,0.81,0.71,2.7,1.35,1.63,1.28,1.77,1.75,1.1,1.84,2.09,1.53,1.71,1.91
a_1,0.84,0.7,0.93,0.84,0.54,3.34,1.64,1.75,1.8,1.63,1.67,1.89,2.02,0.92,1.86,2.06
h_1,1.35,0.96,1.0,0.97,0.92,0.81,3.89,2.34,2.01,2.54,2.3,2.44,1.72,1.99,2.46,3.6
g_1,0.95,0.69,1.55,1.06,1.18,0.7,1.86,4.35,1.75,1.91,2.22,3.24,2.32,2.21,2.21,1.41
d_0,1.2,0.76,0.6,1.69,1.06,1.07,2.04,1.99,3.62,1.56,2.08,2.56,2.59,2.69,2.19,3.13
c_0,1.15,1.1,0.95,0.79,0.86,1.01,1.98,2.53,2.58,3.76,4.0,2.31,3.29,3.05,2.28,3.17
b_0,1.04,1.14,1.17,1.06,0.53,0.95,1.75,2.17,2.29,1.84,3.98,2.22,2.59,4.67,2.15,3.1
f_0,0.68,0.81,1.16,1.34,0.96,0.93,2.18,1.83,2.31,2.33,2.26,4.24,2.9,2.88,4.04,3.21
h_0,1.31,0.91,1.07,0.89,1.05,1.05,1.12,2.39,2.06,1.67,2.11,2.44,1.74,1.95,2.31,3.45
a_0,1.22,0.93,0.9,1.06,1.17,0.7,2.21,1.96,2.27,1.93,2.03,2.08,2.89,4.61,2.82,3.14
e_0,1.16,0.69,0.93,1.16,1.12,1.06,2.26,2.41,2.11,2.7,2.42,2.26,2.92,2.3,4.95,2.73
g_0,1.01,0.91,1.35,1.1,0.88,0.85,1.57,1.66,1.9,2.03,2.43,3.19,2.77,2.08,2.6,1.95
