,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.95,1.08,0.97,0.81,0.72,0.72,0.61,0.86,0.65,0.74,0.62,0.62,0.61,0.59
f_1,1.21,1.0,0.95,0.98,0.87,0.82,0.59,0.69,0.58,0.65,0.62,0.52,0.57,0.5,0.4,0.55
d_1,1.02,1.07,1.0,0.84,0.95,0.8,0.69,0.63,0.81,0.65,0.66,0.61,0.56,0.56,0.6,0.48
c_1,0.94,1.04,1.18,1.0,1.26,0.86,0.76,0.63,0.6,0.49,0.61,0.64,0.58,0.56,0.59,0.6
b_1,1.0,1.12,1.03,0.8,1.0,1.31,0.95,0.8,0.71,0.67,0.65,0.69,0.57,0.64,0.63,0.59
a_1,1.22,1.22,1.22,1.14,0.79,1.0,0.94,0.89,0.84,0.82,0.84,0.75,0.74,0.83,0.65,0.69
h_1,1.38,1.66,1.45,1.34,1.03,1.04,1.0,1.09,0.91,0.88,0.83,0.83,0.77,0.82,0.75,0.85
g_1,1.4,1.47,1.63,1.53,1.29,1.06,0.91,1.0,0.97,0.93,0.9,1.0,0.81,0.79,0.88,0.83
c_0,1.63,1.7,1.28,1.67,1.41,1.09,1.12,1.06,1.0,1.17,1.24,0.95,0.95,0.91,0.98,0.84
d_0,1.21,1.52,1.5,2.14,1.52,1.18,1.15,1.04,0.86,1.0,0.95,0.94,0.95,0.92,0.99,0.93
b_0,1.51,1.69,1.55,1.66,1.5,1.09,1.21,1.09,0.8,1.01,1.0,0.88,1.24,1.0,0.9,0.84
f_0,1.43,1.82,1.69,1.58,1.42,1.34,1.19,1.0,1.0,1.05,1.16,1.0,1.0,1.03,1.49,0.83
a_0,1.64,1.8,1.61,1.74,1.77,1.33,1.34,1.2,1.08,1.05,0.83,1.05,1.0,1.01,0.94,0.78
h_0,1.61,1.99,1.8,1.72,1.63,1.21,1.25,1.28,1.06,1.06,0.97,0.96,0.96,1.0,0.91,1.03
e_0,1.79,2.35,1.64,1.64,1.72,1.53,1.36,1.13,1.1,1.04,1.16,0.71,1.1,1.06,1.0,0.95
g_0,1.69,1.88,2.01,1.64,1.69,1.4,1.19,1.27,1.2,1.01,1.18,1.25,1.23,0.98,1.06,1.0
