,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.91,0.35,0.37,0.25,0.23,0.21,0.25,0.2,0.49,0.27,0.27,0.22,0.19,0.27,0.12,0.24
f_1,0.59,0.9,0.3,0.28,0.22,0.18,0.22,0.22,0.28,0.27,0.25,0.11,0.17,0.27,0.13,0.21
c_1,0.29,0.3,0.9,0.28,0.48,0.2,0.29,0.23,0.28,0.2,0.12,0.27,0.19,0.26,0.18,0.24
d_1,0.29,0.32,0.27,0.91,0.26,0.22,0.32,0.26,0.2,0.35,0.48,0.25,0.2,0.26,0.2,0.21
b_1,0.32,0.3,0.29,0.28,0.9,0.4,0.29,0.21,0.24,0.15,0.25,0.22,0.13,0.28,0.15,0.24
a_1,0.33,0.34,0.31,0.34,0.26,0.89,0.35,0.27,0.26,0.3,0.25,0.21,0.14,0.3,0.19,0.21
h_1,0.35,0.51,0.31,0.34,0.3,0.18,0.62,0.32,0.27,0.28,0.29,0.23,0.21,0.24,0.22,0.33
g_1,0.32,0.32,0.33,0.51,0.25,0.18,0.31,0.6,0.24,0.3,0.3,0.4,0.19,0.29,0.26,0.17
d_0,0.34,0.37,0.59,0.22,0.31,0.21,0.28,0.21,0.49,0.31,0.21,0.24,0.22,0.31,0.21,0.23
b_0,0.36,0.37,0.36,0.39,0.2,0.18,0.33,0.26,0.29,0.53,0.37,0.3,0.49,0.34,0.23,0.29
c_0,0.41,0.39,0.26,0.35,0.22,0.22,0.33,0.24,0.32,0.6,0.51,0.28,0.3,0.35,0.22,0.28
f_0,0.28,0.28,0.36,0.36,0.34,0.2,0.33,0.28,0.3,0.34,0.32,0.51,0.27,0.33,0.44,0.26
a_0,0.35,0.42,0.31,0.37,0.33,0.13,0.29,0.24,0.34,0.32,0.31,0.26,0.44,0.37,0.22,0.33
h_0,0.36,0.47,0.32,0.37,0.27,0.2,0.22,0.34,0.28,0.29,0.28,0.24,0.21,0.21,0.18,0.32
e_0,0.26,0.43,0.38,0.36,0.27,0.17,0.3,0.24,0.31,0.36,0.31,0.29,0.31,0.37,0.45,0.31
g_0,0.36,0.26,0.34,0.51,0.27,0.19,0.28,0.17,0.29,0.36,0.31,0.38,0.26,0.28,0.21,0.21
