,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.54,0.78,0.6,0.8,0.6,0.56,0.84,1.69,0.86,0.94,0.92,0.92,1.05,0.82,0.98,0.41
f_1,1.14,2.63,0.63,0.59,0.58,0.5,0.85,0.87,0.93,0.97,0.97,0.48,0.91,0.92,0.92,0.82
d_1,0.64,0.79,2.73,0.59,0.5,0.63,1.0,0.43,1.64,0.74,1.19,1.03,0.89,1.01,0.99,0.96
c_1,0.61,0.66,0.55,2.84,1.22,0.64,0.75,0.95,0.37,0.8,0.59,0.89,0.99,0.7,0.88,1.07
b_1,0.61,0.54,0.71,0.65,3.09,1.29,0.87,0.82,0.84,0.78,0.47,0.9,0.89,0.86,0.92,0.96
a_1,0.57,0.59,0.75,0.75,0.61,4.38,1.06,0.84,0.95,0.82,1.02,1.1,1.08,0.7,0.89,1.09
h_1,0.62,1.1,1.01,0.72,0.72,0.65,2.66,1.07,1.15,1.58,1.08,1.0,0.6,1.18,1.49,1.23
d_0,0.71,0.86,0.47,1.49,0.92,0.69,1.1,1.98,0.76,1.26,1.05,1.11,1.26,0.9,1.16,1.2
c_0,0.72,0.85,0.95,0.54,0.69,0.79,1.26,1.08,2.07,1.22,2.41,1.23,1.13,1.62,1.25,1.27
g_1,0.83,0.77,1.12,0.71,0.67,0.58,1.02,1.04,1.08,3.16,1.18,1.9,1.0,1.0,0.75,1.4
b_0,0.84,0.86,0.82,0.81,0.52,0.53,1.13,1.05,1.25,1.3,2.41,1.3,1.54,2.63,1.17,1.33
f_0,0.65,0.6,0.88,0.85,0.9,0.9,1.41,1.03,1.03,1.1,1.37,2.73,1.31,1.35,1.34,2.58
h_0,0.79,1.15,0.87,0.75,0.75,0.67,0.7,1.04,1.12,1.5,1.02,1.17,0.87,1.24,1.53,0.99
a_0,0.86,0.71,0.85,0.85,0.8,0.43,1.38,1.07,1.15,1.34,1.33,1.11,1.4,3.35,1.32,1.11
g_0,0.74,0.65,1.51,0.79,0.77,0.49,1.03,0.92,1.11,0.66,1.24,1.88,1.06,1.04,0.8,1.15
e_0,0.46,0.85,0.98,0.77,0.77,0.9,1.47,0.97,1.21,1.27,1.23,1.36,1.49,1.32,1.48,3.13
