,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,1.13,0.97,1.37,1.1,1.07,0.25,0.34,0.23,0.27,0.21,0.31,0.21,0.12,0.21,0.19
e_1,0.71,0.42,1.3,1.2,1.46,1.16,0.36,0.42,0.28,0.25,0.26,0.3,0.29,0.19,0.5,0.21
d_1,1.21,1.6,0.41,1.21,1.11,1.05,0.27,0.23,0.22,0.44,0.22,0.21,0.21,0.15,0.2,0.1
c_1,1.28,1.01,1.42,0.41,1.21,1.05,0.39,0.32,0.39,0.15,0.26,0.23,0.25,0.18,0.22,0.19
b_1,1.48,1.24,1.43,0.71,0.4,1.34,0.41,0.45,0.42,0.26,0.49,0.24,0.24,0.25,0.33,0.2
a_1,1.55,1.59,1.5,1.68,0.87,0.33,0.55,0.5,0.34,0.41,0.46,0.35,0.58,0.21,0.34,0.23
h_1,2.39,2.02,1.99,2.57,2.33,1.92,0.3,0.75,0.41,0.42,0.46,0.43,0.37,0.44,0.42,0.29
g_1,2.68,2.6,2.05,3.07,2.35,2.23,0.52,0.27,0.47,0.5,0.46,0.4,0.42,0.22,0.46,0.38
c_0,2.93,2.68,1.35,4.38,2.32,1.94,0.64,0.8,0.31,0.78,0.54,0.44,0.47,0.37,0.6,0.32
d_0,2.39,1.41,3.88,2.59,2.49,2.54,0.73,0.99,0.56,0.33,0.59,0.51,0.52,0.41,0.51,0.49
b_0,2.56,2.33,2.04,4.12,3.56,2.56,0.7,0.7,0.31,0.57,0.3,0.52,0.48,0.36,0.57,0.32
f_0,4.01,2.65,2.4,3.46,2.63,2.58,0.88,0.51,0.57,0.68,0.48,0.31,0.54,0.45,0.56,0.3
a_0,3.29,2.98,2.56,3.35,3.88,3.7,0.91,0.81,0.51,0.67,0.32,0.61,0.3,0.51,0.58,0.45
h_0,3.33,3.11,2.74,3.45,2.64,2.42,1.09,0.84,0.66,0.7,0.57,0.52,0.51,0.64,0.6,0.47
e_0,5.4,4.26,2.75,3.59,2.97,2.37,0.93,0.78,0.66,0.89,0.66,0.31,0.56,0.38,0.27,0.36
g_0,3.5,3.36,3.22,3.4,3.2,2.66,0.68,1.26,0.67,0.74,0.67,0.73,0.7,0.38,0.59,0.67
