,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.37,1.94,1.23,1.15,0.94,1.13,2.14,2.32,2.5,2.44,2.7,1.56,2.82,2.66,3.17,1.96
e_1,1.11,2.44,1.48,1.13,1.34,1.16,2.47,2.23,4.37,2.9,2.8,2.99,3.49,2.92,3.29,2.61
c_1,1.17,1.09,2.51,1.23,2.03,1.11,2.47,2.35,2.21,1.54,2.01,2.6,3.22,2.25,3.11,2.85
d_1,1.39,1.21,1.05,2.58,1.11,1.3,2.4,2.17,1.68,4.2,2.96,3.05,3.02,2.98,3.4,2.88
b_1,1.39,1.0,1.13,1.26,2.78,2.03,2.57,2.5,2.76,2.78,1.86,2.62,3.67,1.99,3.63,2.42
a_1,1.47,1.23,1.34,1.13,1.06,3.36,2.39,2.5,2.95,2.7,2.49,2.52,3.89,1.79,3.16,2.14
h_1,1.79,1.32,1.19,1.47,1.14,1.27,4.09,2.98,2.63,2.96,3.24,2.35,2.93,2.84,4.54,2.63
g_1,1.26,1.2,1.29,1.99,1.21,1.25,2.34,4.43,2.73,2.95,3.15,3.84,3.38,3.26,2.86,3.68
d_0,1.35,1.05,2.28,1.14,1.4,0.99,2.86,2.77,3.97,2.18,3.06,3.24,3.99,3.51,3.66,3.42
c_0,1.48,1.34,1.29,1.33,0.93,1.4,2.37,2.89,3.57,4.19,5.41,3.07,4.39,4.07,4.3,3.55
b_0,1.41,1.35,1.45,1.59,0.91,1.27,2.58,2.89,2.66,2.5,4.51,2.88,3.81,5.07,3.52,3.25
f_0,1.26,1.11,1.46,1.54,1.31,1.1,2.75,2.65,3.13,3.38,3.51,4.64,4.38,3.44,3.71,5.95
h_0,1.75,1.23,1.41,1.58,1.26,1.15,2.08,3.31,2.65,2.65,3.09,2.5,2.95,3.12,4.25,3.09
a_0,1.37,1.36,1.57,1.5,1.4,1.11,2.66,2.82,2.51,2.25,2.95,3.38,3.41,5.02,3.58,3.65
g_0,1.31,1.26,1.24,1.97,1.14,1.16,2.36,2.4,2.38,2.74,3.44,4.27,3.39,3.14,2.89,3.48
e_0,1.59,0.73,1.48,1.36,1.71,1.49,2.63,2.31,2.96,2.79,3.58,2.75,4.04,2.62,3.69,5.55
