,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,2.18,1.53,2.6,2.27,1.7,0.97,0.8,0.91,0.72,0.64,0.72,0.52,0.62,1.04,0.6
d_1,2.96,1.06,2.37,2.18,2.06,1.87,0.81,1.19,0.59,0.69,0.61,0.65,0.45,0.54,0.55,0.38
f_1,2.67,2.15,1.06,2.2,2.05,1.88,0.68,0.69,0.98,0.61,0.69,1.05,0.48,0.59,0.52,0.46
c_1,1.94,2.82,2.56,1.06,3.19,1.8,0.96,0.48,0.82,1.07,0.59,0.67,0.48,0.55,0.67,0.61
b_1,2.78,2.91,2.8,1.57,1.07,3.22,1.07,0.95,1.14,0.95,1.32,0.82,0.81,0.69,0.8,0.59
a_1,4.39,3.87,4.08,4.06,1.8,1.07,1.43,1.11,1.36,1.31,1.39,0.98,0.81,1.92,0.9,0.81
h_1,5.2,5.89,7.24,5.54,5.31,4.97,1.33,1.63,2.27,1.8,1.63,1.42,1.72,1.4,1.28,1.27
d_0,4.39,8.8,6.81,7.82,7.1,6.78,3.03,1.53,2.63,1.8,1.94,1.87,1.68,1.86,1.5,1.62
g_1,7.19,7.26,6.7,7.3,5.93,5.55,2.24,2.1,1.33,1.92,1.96,1.99,1.17,1.53,1.55,1.83
c_0,7.05,4.62,8.52,11.88,6.39,5.29,3.18,3.12,2.74,1.49,2.69,2.01,1.95,1.84,1.81,1.42
b_0,8.1,7.24,7.91,10.58,12.18,6.77,2.82,2.28,2.9,1.46,1.57,1.93,2.08,2.51,1.79,1.68
f_0,7.73,7.48,12.37,8.91,7.79,7.31,3.61,2.99,1.9,2.37,2.29,1.52,1.77,2.19,2.73,1.42
h_0,9.91,9.62,9.8,11.7,8.86,8.4,5.37,2.87,4.58,2.49,2.35,2.84,2.92,2.18,2.06,2.32
a_0,9.19,11.49,9.85,11.39,14.85,12.05,4.16,3.32,4.72,2.9,1.72,2.91,2.53,1.68,2.38,2.18
e_0,11.86,11.23,14.86,11.42,11.24,9.88,4.54,3.78,4.03,3.13,3.1,1.69,2.76,2.74,1.59,2.4
g_0,10.92,11.18,12.47,10.62,11.58,9.62,3.72,3.67,5.43,3.76,3.56,3.56,1.97,3.23,2.46,3.26
