,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.91,1.15,0.97,0.84,0.69,0.81,0.59,0.84,0.7,0.74,0.58,0.6,0.61,0.64
f_1,1.28,1.0,0.92,0.98,0.88,0.69,0.63,0.67,0.57,0.64,0.61,0.47,0.49,0.57,0.5,0.54
d_1,1.09,1.08,1.0,0.85,0.95,0.87,0.75,0.56,0.87,0.71,0.69,0.58,0.58,0.57,0.6,0.45
c_1,0.86,1.02,1.19,1.0,1.38,0.88,0.67,0.63,0.57,0.49,0.53,0.63,0.59,0.59,0.56,0.54
b_1,1.02,1.13,1.04,0.74,1.0,1.43,0.84,0.72,0.8,0.66,0.69,0.66,0.73,0.49,0.59,0.61
a_1,1.2,1.44,1.14,1.14,0.71,1.0,0.92,0.78,0.8,0.92,0.84,0.71,0.77,0.86,0.67,0.75
h_1,1.42,1.59,1.39,1.52,1.19,1.05,1.0,1.13,0.84,0.85,0.92,0.84,0.81,0.84,0.68,1.0
g_1,1.26,1.47,1.79,1.53,1.42,1.22,0.87,1.0,1.01,0.91,0.89,1.1,0.84,0.81,0.87,0.84
c_0,1.62,1.75,1.19,1.78,1.21,1.26,1.19,0.95,1.0,1.2,1.35,0.95,0.91,0.97,0.86,0.85
d_0,1.22,1.51,1.47,2.07,1.59,1.13,1.12,1.14,0.84,1.0,1.05,0.97,0.95,0.81,0.85,1.01
b_0,1.44,1.65,1.55,1.81,1.44,1.16,1.12,1.16,0.76,0.95,1.0,0.96,0.93,1.28,0.89,0.85
f_0,1.41,1.92,1.73,1.64,1.54,1.39,1.14,0.95,1.02,1.05,1.03,1.0,1.07,0.91,1.23,0.69
h_0,1.69,2.12,1.75,1.66,1.39,1.29,1.21,1.22,1.08,1.08,1.1,0.94,1.0,0.89,0.93,1.2
a_0,1.61,1.77,1.74,1.68,2.04,1.18,1.21,1.26,1.03,1.15,0.8,1.09,1.12,1.0,1.06,0.9
e_0,1.55,2.05,1.73,1.76,1.68,1.49,1.41,1.11,1.2,1.16,1.2,0.84,1.03,0.87,1.0,1.08
g_0,1.54,1.79,2.16,1.86,1.72,1.33,1.03,1.19,1.16,0.97,1.24,1.46,0.86,1.06,1.01,1.0
