,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.14,5.32,13.0,12.11,11.36,11.11,3.43,3.85,2.79,2.81,3.01,2.47,1.66,2.26,7.4,1.9
f_1,11.24,1.14,10.56,10.43,11.31,9.45,2.32,2.87,2.45,1.88,8.8,1.84,1.2,2.06,2.01,2.01
d_1,14.68,13.22,1.14,14.62,14.27,13.37,3.04,2.0,10.72,2.83,2.15,2.43,1.76,1.95,2.47,1.09
c_1,11.82,12.8,14.77,1.14,12.4,14.67,4.39,4.12,1.56,11.88,2.42,2.82,1.9,4.62,2.27,1.71
b_1,13.55,17.5,15.5,7.24,1.15,16.66,3.56,5.8,2.49,4.36,3.12,11.1,1.91,3.11,2.91,2.01
a_1,22.83,27.01,17.67,25.61,11.01,1.15,6.18,6.27,5.36,3.42,5.19,5.5,4.09,22.29,3.46,3.56
h_1,23.86,25.51,23.65,24.02,24.07,32.23,1.9,8.53,5.16,4.33,5.1,4.35,7.96,4.36,4.81,3.68
g_1,31.08,36.74,31.15,38.74,29.28,33.32,6.4,1.9,7.11,5.56,5.33,6.82,3.62,6.77,5.36,11.96
d_0,15.81,34.99,101.48,39.23,31.21,35.75,11.06,12.64,2.47,5.77,6.92,7.16,4.98,7.73,6.49,6.09
c_0,42.03,45.36,14.98,182.29,38.38,35.11,10.54,12.42,12.23,2.67,8.07,10.11,7.55,8.61,7.87,5.88
f_0,36.62,99.3,40.86,43.65,31.91,41.83,11.06,5.66,7.41,7.58,2.55,7.16,5.41,5.34,9.02,3.38
b_0,36.99,43.22,33.83,49.19,135.24,32.77,12.27,10.41,7.83,3.39,7.85,2.68,4.61,9.97,7.25,5.0
h_0,49.32,51.75,54.24,51.65,55.69,37.09,42.67,13.88,12.67,12.12,7.26,9.13,18.25,6.77,8.6,7.28
a_0,46.82,56.52,60.5,68.87,69.27,,19.06,17.27,13.4,12.12,11.62,5.72,8.42,2.83,19.47,10.15
e_0,132.11,118.52,55.19,53.43,57.96,50.41,20.36,22.12,10.4,9.77,4.37,9.28,5.76,9.02,2.82,6.98
g_0,66.05,74.98,71.5,67.37,72.82,59.58,17.23,50.57,17.0,11.88,12.1,8.71,7.42,10.83,10.57,16.75
