,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.46,4.06,3.94,4.0,4.63,3.99,0.76,0.68,1.45,0.78,0.99,2.29,0.45,0.77,0.76,0.79
e_1,2.47,0.45,4.2,4.72,3.56,5.0,1.53,0.85,1.56,1.1,0.72,0.97,0.66,1.0,4.45,0.77
d_1,4.95,4.85,0.43,4.75,4.09,3.8,1.06,5.31,0.81,0.82,0.84,0.67,0.71,0.79,0.87,0.38
c_1,3.77,4.04,7.04,0.42,4.15,4.53,1.46,0.44,1.28,4.06,0.99,1.0,0.75,0.95,1.07,0.71
b_1,5.12,5.58,5.23,2.69,0.39,5.81,1.6,1.22,1.28,1.11,7.19,0.73,0.73,1.16,0.85,0.54
a_1,8.29,5.31,5.55,6.33,2.82,0.33,1.82,1.58,1.63,1.42,1.73,1.59,0.7,5.16,1.61,1.06
h_1,4.76,5.1,4.44,5.14,5.16,4.73,0.36,1.23,2.03,0.84,0.94,1.2,1.56,0.82,0.82,0.8
d_0,5.2,2.95,15.12,4.84,6.32,6.59,1.9,0.47,1.76,1.48,1.01,1.27,0.78,1.23,0.92,1.11
g_1,5.38,6.13,4.96,7.21,6.39,6.36,1.13,1.81,0.32,0.86,0.78,0.87,0.8,1.03,1.07,1.32
c_0,6.82,5.02,2.78,20.92,7.06,5.3,1.64,1.7,1.93,0.42,1.07,1.08,0.84,0.99,1.01,0.93
b_0,6.28,7.21,5.04,6.75,22.03,5.9,2.02,1.41,1.44,0.69,0.4,1.17,0.82,1.11,0.93,0.75
f_0,22.69,6.16,5.84,6.49,8.61,5.18,2.53,1.28,0.93,1.34,1.13,0.4,0.84,1.03,0.97,0.59
h_0,7.7,7.22,6.49,5.86,10.75,5.99,5.25,1.69,2.13,1.32,1.25,1.29,2.23,1.59,1.12,1.5
a_0,9.8,6.79,5.26,8.0,15.16,,2.38,1.98,1.92,1.15,0.7,1.31,0.95,0.36,1.94,1.14
e_0,10.94,11.97,5.54,8.0,11.91,5.96,1.73,1.38,1.8,1.26,1.07,0.62,0.88,1.28,0.35,1.11
g_0,10.3,8.05,8.13,9.74,9.29,5.62,1.86,1.54,4.75,1.59,1.57,1.33,0.95,1.37,1.03,2.17
