,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.07,1.98,3.64,2.96,3.2,2.3,1.45,1.42,1.26,1.11,1.06,1.05,0.84,0.82,1.96,0.74
f_1,3.95,1.07,3.39,3.89,2.71,3.0,0.99,1.14,0.91,0.89,2.04,0.91,0.75,0.52,0.7,0.81
d_1,3.22,3.82,1.07,3.19,3.5,3.28,1.35,1.0,1.02,2.48,0.81,0.93,0.81,0.69,1.03,0.45
c_1,3.78,3.39,4.62,1.07,4.26,3.78,1.47,1.03,1.32,0.72,1.05,0.96,1.04,0.92,0.95,0.8
b_1,4.06,4.74,3.74,2.41,1.07,4.23,1.8,1.44,1.37,1.22,1.36,3.22,1.29,0.95,0.86,1.04
a_1,5.52,5.53,4.54,5.23,3.36,1.07,2.04,2.1,1.61,2.19,1.53,1.61,3.51,1.19,1.81,1.18
h_1,6.56,8.45,6.88,6.52,6.12,6.15,1.38,4.12,1.99,2.13,1.92,1.89,2.15,2.92,1.72,2.1
g_1,7.35,9.6,8.43,8.67,7.59,6.73,2.24,1.38,2.35,1.97,2.49,2.3,2.2,1.52,1.95,3.39
c_0,7.71,10.73,5.71,,8.6,7.45,3.51,3.31,1.66,2.72,2.52,3.39,2.8,2.1,2.46,2.2
d_0,6.11,9.78,13.11,10.55,8.88,7.07,3.46,4.54,2.91,1.65,2.06,2.54,2.57,2.54,2.26,2.24
f_0,10.01,20.9,9.41,9.32,8.82,8.03,3.9,2.98,2.63,3.36,1.6,2.21,2.72,2.46,3.17,1.61
b_0,10.59,10.78,8.96,11.74,14.77,9.16,3.41,3.7,1.58,2.72,3.07,1.64,3.51,2.22,2.01,2.21
a_0,13.23,13.27,12.34,12.1,13.88,12.53,3.9,4.41,2.85,3.19,3.67,1.93,1.63,3.02,2.89,2.32
h_0,11.57,14.17,15.6,13.52,9.57,9.21,6.73,4.52,3.73,2.97,3.32,3.51,3.19,4.21,2.77,2.85
e_0,24.0,17.46,10.19,13.3,14.72,9.16,4.52,7.08,3.79,4.49,1.97,4.11,3.2,3.52,1.63,2.26
g_0,14.32,15.3,17.33,14.19,13.07,11.77,3.69,6.49,3.39,4.43,4.32,3.71,3.71,2.85,3.71,4.45
