,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.42,0.6,0.72,0.7,0.54,0.32,0.33,0.36,0.27,0.27,0.31,0.23,0.29,0.28,0.24
f_1,0.65,0.4,0.51,0.62,0.59,0.53,0.25,0.3,0.33,0.25,0.26,0.31,0.18,0.26,0.22,0.22
d_1,0.67,0.66,0.38,0.58,0.54,0.53,0.3,0.31,0.23,0.28,0.29,0.27,0.23,0.24,0.25,0.17
c_1,0.5,0.61,0.71,0.38,0.63,0.58,0.32,0.19,0.36,0.28,0.27,0.28,0.22,0.25,0.26,0.23
b_1,0.55,0.64,0.69,0.41,0.36,0.74,0.32,0.25,0.34,0.34,0.34,0.26,0.22,0.26,0.25,0.24
a_1,0.69,0.67,0.62,0.57,0.37,0.31,0.38,0.31,0.35,0.3,0.32,0.27,0.23,0.33,0.33,0.23
h_1,0.55,0.64,0.56,0.57,0.55,0.48,0.23,0.26,0.31,0.24,0.24,0.24,0.24,0.24,0.24,0.24
d_0,0.41,0.57,0.66,0.69,0.63,0.54,0.31,0.23,0.33,0.22,0.24,0.27,0.23,0.24,0.26,0.23
g_1,0.56,0.61,0.62,0.55,0.55,0.48,0.24,0.29,0.21,0.28,0.24,0.27,0.19,0.26,0.26,0.27
c_0,0.58,0.58,0.41,0.81,0.58,0.57,0.31,0.39,0.27,0.22,0.28,0.29,0.24,0.29,0.26,0.22
b_0,0.54,0.57,0.48,0.75,0.7,0.5,0.32,0.28,0.29,0.18,0.21,0.24,0.24,0.26,0.25,0.22
f_0,0.54,0.63,0.57,0.6,0.55,0.52,0.32,0.3,0.24,0.26,0.26,0.2,0.25,0.25,0.28,0.17
h_0,0.54,0.64,0.59,0.57,0.55,0.49,0.34,0.25,0.31,0.25,0.24,0.23,0.26,0.22,0.22,0.23
a_0,0.52,0.56,0.56,0.63,0.63,0.54,0.33,0.27,0.28,0.21,0.18,0.27,0.26,0.19,0.25,0.19
e_0,0.64,0.66,0.58,0.59,0.59,0.47,0.32,0.26,0.25,0.23,0.24,0.16,0.22,0.25,0.18,0.2
g_0,0.58,0.59,0.59,0.59,0.54,0.5,0.25,0.25,0.3,0.24,0.24,0.26,0.18,0.25,0.22,0.23
