,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.39,1.14,1.36,1.1,1.38,1.23,2.44,2.43,4.46,2.45,2.94,2.46,2.56,3.64,2.5,3.62
f_1,1.74,2.44,1.28,1.19,1.15,1.02,2.05,2.32,2.41,2.24,1.88,2.58,2.65,2.95,1.89,3.13
c_1,1.24,1.16,2.54,1.17,1.82,1.12,2.43,2.24,2.03,1.86,2.71,2.28,2.68,3.53,2.84,3.04
d_1,1.26,1.29,1.05,2.61,1.1,1.25,2.31,2.29,1.79,4.26,2.9,3.15,3.36,3.39,2.85,3.08
b_1,1.05,1.22,1.16,1.35,2.65,2.02,2.4,2.2,2.84,2.82,2.69,2.37,2.19,3.34,2.83,4.0
a_1,1.1,1.44,1.37,1.28,1.08,3.39,2.68,2.25,2.7,2.99,2.65,2.79,1.7,3.38,3.33,3.02
h_1,1.4,1.74,1.3,1.36,1.27,1.3,4.0,3.28,2.79,2.63,2.78,2.77,2.55,2.91,2.98,4.21
g_1,1.3,1.18,1.39,2.0,1.23,1.35,2.28,4.37,2.3,2.95,3.87,2.9,2.81,3.38,3.06,2.81
d_0,1.06,1.52,2.35,0.98,1.27,1.26,2.67,2.72,3.9,2.25,2.89,2.81,2.87,3.38,2.69,3.88
c_0,1.4,1.67,1.13,1.24,1.18,1.18,2.84,2.99,2.91,4.4,3.05,5.22,3.25,3.56,2.96,4.04
f_0,1.28,1.23,1.47,1.34,1.33,1.37,2.79,2.46,3.17,2.87,4.48,3.4,3.48,4.08,5.57,3.16
b_0,1.51,1.54,1.55,1.53,0.83,1.0,2.78,3.23,2.62,2.76,2.94,4.68,5.31,3.72,2.93,3.67
a_0,1.47,1.44,1.36,1.26,1.34,1.12,3.0,3.06,2.72,3.03,3.45,2.46,5.02,3.84,3.51,3.28
h_0,1.23,1.85,1.34,1.41,1.22,1.17,2.2,3.08,3.17,3.16,2.44,2.76,3.32,2.95,2.9,4.31
e_0,0.85,1.81,1.32,1.51,1.34,1.43,2.98,2.51,2.65,3.33,2.39,3.16,2.53,4.0,5.2,3.53
g_0,1.21,1.38,1.5,1.88,1.21,1.22,2.5,2.36,2.56,2.67,4.11,3.07,2.9,3.36,3.5,3.1
