,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.52,1.02,0.9,0.75,0.73,0.72,1.05,0.8,1.53,0.83,1.26,1.01,1.02,1.19,0.92,1.04
f_1,0.85,1.53,1.27,0.81,0.82,0.61,0.98,0.96,1.02,1.16,0.98,0.79,1.0,1.01,0.61,1.04
e_1,0.88,0.87,1.56,1.16,0.87,0.69,1.02,0.93,1.01,1.65,1.14,0.97,0.94,1.1,0.74,1.02
c_1,1.0,0.92,0.75,1.58,1.27,0.82,1.05,1.02,0.66,0.88,0.69,0.99,0.81,1.07,0.88,1.05
b_1,1.0,0.93,0.89,0.83,1.64,1.28,1.05,1.04,1.07,1.05,0.82,0.97,0.8,1.11,0.87,1.08
a_1,1.0,1.08,0.93,1.01,0.84,1.76,1.36,1.15,1.12,1.19,1.11,1.2,0.74,1.26,1.16,1.3
h_1,1.25,1.45,1.07,1.03,0.87,0.78,1.82,1.41,1.34,1.26,1.42,1.22,1.12,1.26,1.23,1.52
g_1,1.63,1.09,1.04,1.0,0.93,0.87,1.23,1.91,1.23,1.19,1.38,1.75,1.27,1.44,1.41,1.16
c_0,1.2,1.26,1.3,1.12,0.96,0.91,1.28,1.38,1.75,1.55,2.15,1.36,1.48,1.36,1.28,1.29
d_0,1.06,1.1,1.05,1.91,1.14,0.98,1.27,1.28,0.92,1.71,1.19,1.23,1.27,1.44,1.08,1.16
b_0,1.23,1.37,1.1,1.51,0.94,0.77,1.34,1.27,1.2,1.46,1.78,1.25,1.96,1.58,1.17,1.34
f_0,1.41,1.07,1.0,1.26,1.23,0.94,1.49,1.27,1.53,1.35,1.36,1.85,1.3,1.49,2.21,1.46
a_0,1.31,1.3,1.21,1.4,1.19,0.89,1.5,1.28,1.31,1.38,1.3,1.33,1.82,1.76,1.19,1.46
h_0,1.34,1.6,1.26,1.2,1.06,0.91,1.19,1.59,1.4,1.41,1.33,1.31,1.22,1.28,1.08,1.57
e_0,1.42,1.45,1.02,1.34,1.39,1.0,1.5,1.31,1.48,1.38,1.43,1.13,1.35,1.81,1.93,1.36
g_0,1.88,1.21,1.16,1.23,1.07,0.83,1.4,1.19,1.65,1.38,1.5,1.7,1.2,1.52,1.4,1.27
