,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.28,0.91,0.92,0.75,0.58,0.41,0.47,0.38,0.38,0.37,0.4,0.29,0.22,0.3,0.33
e_1,0.79,1.0,1.03,1.07,0.88,0.78,0.54,0.51,0.39,0.58,0.52,0.41,0.34,0.4,0.36,0.33
d_1,1.09,0.99,1.0,0.84,0.91,0.7,0.5,0.35,0.59,0.37,0.4,0.43,0.33,0.35,0.29,0.25
c_1,1.11,0.94,1.18,1.0,1.47,0.74,0.51,0.51,0.39,0.32,0.39,0.38,0.34,0.36,0.33,0.31
b_1,1.33,1.13,1.1,0.68,1.0,1.05,0.54,0.51,0.5,0.48,0.44,0.42,0.46,0.37,0.33,0.33
a_1,1.71,1.26,1.46,1.34,0.95,1.0,0.8,0.65,0.69,0.62,0.55,0.67,0.55,0.54,0.55,0.45
h_1,2.46,1.89,2.04,1.9,1.85,1.24,1.0,0.99,0.79,0.75,0.85,0.72,0.67,0.58,0.67,0.81
g_1,2.04,1.98,2.69,1.94,2.05,1.65,1.04,1.0,0.81,0.83,1.13,0.88,0.65,0.72,0.71,0.6
c_0,2.65,2.7,1.66,2.51,1.75,1.48,1.25,1.18,1.0,1.3,0.98,1.49,0.86,0.85,0.82,0.7
d_0,2.46,1.78,2.48,3.22,2.2,1.56,1.33,1.21,0.76,1.0,0.9,0.93,0.82,0.97,0.86,0.8
f_0,2.63,1.88,2.59,2.66,2.13,1.76,1.18,0.87,1.05,1.07,1.0,1.02,0.94,1.45,0.85,0.59
b_0,2.52,2.29,2.26,2.87,2.31,1.54,1.39,1.16,0.72,1.08,0.96,1.0,0.94,0.86,1.21,0.78
h_0,3.34,3.06,2.96,3.07,2.16,1.97,1.47,1.58,1.2,1.16,1.08,1.1,1.0,0.8,0.94,0.94
e_0,4.42,2.76,2.75,2.94,2.71,1.88,1.78,1.38,1.14,1.05,0.73,1.19,1.25,1.0,1.0,0.88
a_0,3.28,2.81,3.19,3.19,2.97,1.85,1.52,1.45,1.26,1.23,1.14,0.85,1.12,1.0,1.0,1.02
g_0,3.16,3.11,4.07,3.16,2.81,2.27,1.21,1.56,1.39,1.19,1.61,1.39,1.12,1.12,0.98,1.0
