,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.37,1.11,1.31,1.27,1.04,0.45,0.52,0.6,0.45,0.43,0.63,0.31,0.45,0.4,0.42
e_1,0.91,0.66,1.3,1.44,1.33,1.15,0.59,0.66,0.59,0.45,0.48,0.6,0.41,0.39,0.46,0.71
d_1,1.39,1.41,0.65,1.22,1.38,1.15,0.53,0.8,0.39,0.58,0.43,0.44,0.34,0.43,0.28,0.44
c_1,1.37,1.18,1.7,0.64,1.44,1.09,0.56,0.29,0.66,0.54,0.44,0.46,0.41,0.45,0.33,0.37
b_1,1.53,1.46,1.41,0.89,0.63,1.86,0.71,0.5,0.63,0.61,0.72,0.48,0.39,0.44,0.46,0.43
a_1,2.16,1.69,1.77,1.81,0.85,0.56,1.06,0.61,1.02,0.56,0.81,0.59,0.61,0.79,0.48,0.55
h_1,2.29,2.0,2.05,2.12,1.72,1.33,0.57,0.68,1.0,0.77,0.73,0.68,0.77,0.6,0.59,0.64
d_0,2.17,1.27,2.78,2.91,2.18,1.97,1.18,0.61,1.02,0.76,0.88,0.74,0.65,0.75,0.69,0.79
g_1,2.29,2.12,2.26,2.17,2.15,1.74,0.79,0.9,0.54,0.85,0.82,0.87,0.57,0.78,0.78,0.68
c_0,2.3,2.36,1.4,3.38,2.24,2.32,1.21,0.99,0.87,0.59,0.97,0.81,0.71,0.82,0.67,0.83
b_0,2.29,2.21,2.07,3.13,2.97,1.86,1.04,0.89,1.06,0.52,0.6,0.71,0.71,0.92,0.58,0.71
f_0,3.61,1.92,2.34,2.24,2.41,2.43,1.17,0.84,0.68,0.76,0.92,0.58,0.75,0.89,0.46,0.89
h_0,2.76,2.34,2.58,2.6,2.95,2.02,1.36,1.06,1.04,0.84,0.83,0.84,1.01,0.83,0.84,0.65
a_0,2.57,2.84,2.41,2.75,3.57,2.87,1.49,1.2,1.05,0.86,0.6,0.99,0.78,0.58,0.85,0.92
g_0,2.74,2.41,3.01,2.82,2.68,2.73,1.02,0.99,1.48,0.96,0.99,1.18,0.62,0.76,0.93,0.82
e_0,3.59,2.93,2.45,3.28,2.7,2.8,1.26,0.91,1.3,0.99,1.01,0.54,0.89,1.05,0.7,0.55
