,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.37,0.78,0.72,0.81,0.65,0.19,0.25,0.14,0.14,0.15,0.17,0.09,0.14,0.25,0.11
f_1,0.63,0.17,0.61,0.67,0.69,0.57,0.13,0.22,0.13,0.14,0.13,0.21,0.07,0.13,0.12,0.12
d_1,0.79,0.71,0.16,0.67,0.59,0.62,0.2,0.11,0.12,0.33,0.13,0.11,0.08,0.12,0.14,0.06
c_1,0.49,0.62,0.91,0.14,0.69,0.72,0.2,0.17,0.27,0.07,0.14,0.12,0.1,0.15,0.1,0.08
b_1,0.66,0.84,0.59,0.33,0.13,0.76,0.24,0.21,0.2,0.16,0.32,0.13,0.13,0.12,0.13,0.1
a_1,0.75,0.99,0.57,0.82,0.31,0.1,0.19,0.19,0.13,0.19,0.16,0.1,0.11,0.4,0.14,0.11
h_1,0.53,0.5,0.55,0.59,0.5,0.43,0.06,0.16,0.1,0.11,0.1,0.11,0.11,0.1,0.09,0.09
g_1,0.5,0.58,0.5,0.61,0.63,0.5,0.11,0.05,0.13,0.11,0.09,0.1,0.06,0.09,0.1,0.1
c_0,0.59,0.62,0.28,1.4,0.53,0.47,0.15,0.15,0.06,0.16,0.1,0.11,0.07,0.1,0.1,0.08
d_0,0.3,0.53,0.98,0.54,0.62,0.45,0.17,0.18,0.12,0.06,0.12,0.12,0.09,0.1,0.09,0.09
b_0,0.49,0.56,0.47,0.82,0.92,0.49,0.15,0.16,0.05,0.1,0.06,0.09,0.07,0.09,0.1,0.06
f_0,0.45,1.32,0.53,0.49,0.5,0.5,0.15,0.09,0.11,0.11,0.1,0.05,0.09,0.09,0.11,0.04
h_0,0.56,0.58,0.46,0.53,0.42,0.48,0.26,0.14,0.11,0.11,0.11,0.09,0.11,0.09,0.11,0.09
a_0,0.49,0.52,0.47,0.53,0.76,0.7,0.14,0.15,0.09,0.13,0.05,0.11,0.1,0.04,0.11,0.06
e_0,0.76,0.61,0.48,0.42,0.47,0.56,0.17,0.13,0.11,0.11,0.11,0.06,0.07,0.11,0.04,0.09
g_0,0.46,0.58,0.52,0.52,0.56,0.39,0.13,0.22,0.11,0.1,0.12,0.12,0.06,0.1,0.1,0.12
