,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.94,0.31,0.4,0.23,0.25,0.18,0.18,0.16,0.18,0.17,0.18,0.07,0.12,0.14,0.1,0.12
c_1,0.3,0.94,0.27,0.46,0.31,0.19,0.15,0.19,0.06,0.16,0.1,0.12,0.1,0.16,0.11,0.15
e_1,0.3,0.33,0.94,0.28,0.21,0.18,0.22,0.32,0.19,0.16,0.18,0.14,0.11,0.16,0.05,0.15
b_1,0.36,0.26,0.28,0.93,0.28,0.31,0.2,0.18,0.18,0.19,0.07,0.16,0.12,0.14,0.14,0.13
d_1,0.32,0.18,0.33,0.29,0.94,0.2,0.18,0.13,0.32,0.14,0.19,0.2,0.17,0.17,0.13,0.12
a_1,0.39,0.32,0.3,0.25,0.39,0.93,0.24,0.19,0.19,0.17,0.2,0.19,0.1,0.16,0.15,0.17
h_1,0.71,0.64,0.52,0.41,0.56,0.33,0.72,0.36,0.33,0.39,0.32,0.27,0.23,0.23,0.17,0.3
d_0,0.66,1.01,0.46,0.47,0.28,0.36,0.35,0.61,0.3,0.28,0.24,0.29,0.23,0.31,0.26,0.26
c_0,0.74,0.51,0.57,0.47,0.44,0.46,0.42,0.41,0.63,0.33,0.54,0.33,0.33,0.36,0.24,0.28
g_1,0.58,0.63,0.52,0.47,0.79,0.37,0.26,0.37,0.36,0.72,0.31,0.38,0.26,0.31,0.21,0.18
b_0,0.68,0.79,0.58,0.4,0.6,0.36,0.36,0.53,0.35,0.36,0.61,0.34,0.49,0.36,0.26,0.39
f_0,0.44,0.85,0.58,0.58,0.55,0.41,0.44,0.46,0.41,0.33,0.4,0.61,0.25,0.33,0.4,0.26
a_0,0.91,0.61,0.72,0.6,0.58,0.21,0.43,0.46,0.37,0.34,0.29,0.38,0.6,0.43,0.31,0.27
h_0,0.96,0.73,0.54,0.63,0.53,0.45,0.18,0.49,0.35,0.37,0.36,0.35,0.27,0.22,0.27,0.32
e_0,0.85,0.73,0.36,0.67,0.74,0.51,0.57,0.4,0.43,0.41,0.34,0.35,0.24,0.38,0.58,0.4
g_0,0.69,0.65,0.61,0.64,0.9,0.46,0.44,0.47,0.41,0.21,0.33,0.56,0.29,0.38,0.31,0.22
