,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,1.18,0.84,0.94,0.9,0.79,0.95,0.69,0.7,0.69,0.74,0.61,0.63,0.83,0.64
f_1,1.29,1.0,1.0,1.07,0.81,0.75,0.58,0.61,0.58,0.78,0.61,0.58,0.51,0.63,0.41,0.61
c_1,0.85,1.01,1.0,1.06,1.37,0.83,0.71,0.49,0.53,0.61,0.49,0.59,0.57,0.56,0.55,0.59
d_1,1.2,0.93,0.94,1.0,1.06,0.78,0.68,0.67,0.86,0.54,0.68,0.64,0.6,0.5,0.55,0.46
b_1,1.07,1.27,0.73,0.96,1.0,1.54,0.78,0.67,0.9,0.77,0.62,0.61,0.64,0.54,0.56,0.56
a_1,1.1,1.33,1.21,1.26,0.66,1.0,0.97,0.79,0.66,0.75,0.83,0.78,0.71,0.61,0.76,0.69
h_1,1.31,1.69,1.48,1.45,1.25,1.04,1.0,0.94,0.91,1.18,0.86,0.84,0.84,0.74,0.81,0.92
d_0,1.05,1.56,2.1,1.53,1.55,1.29,1.05,1.0,0.84,1.0,0.99,0.92,0.98,0.77,0.95,1.02
c_0,1.46,1.71,1.84,1.14,1.05,1.44,1.09,1.14,1.0,1.02,1.3,0.9,1.04,1.05,0.91,0.87
g_1,1.4,1.28,1.63,1.88,1.28,1.3,0.86,0.98,1.0,1.0,0.96,1.08,0.81,0.69,0.83,0.76
b_0,1.47,1.62,2.01,1.45,1.6,1.15,1.16,1.04,0.74,1.05,1.0,0.94,0.9,1.27,0.88,0.92
f_0,1.33,1.77,1.65,1.57,1.61,1.27,1.2,1.06,1.06,0.89,1.05,1.0,1.02,0.9,1.3,0.72
h_0,1.59,2.03,1.81,1.68,1.57,1.41,1.14,1.04,0.95,1.29,1.05,1.01,1.0,0.85,0.9,1.22
a_0,1.6,1.61,1.68,1.98,1.94,1.53,1.37,1.23,1.0,1.42,0.8,1.15,1.2,1.0,0.98,0.97
e_0,1.34,2.33,1.71,1.82,1.77,1.35,1.22,1.06,1.09,1.18,1.15,0.79,1.08,1.06,1.0,0.92
g_0,1.52,1.64,1.68,2.18,1.73,1.47,1.09,0.99,1.07,1.4,1.08,1.31,0.8,1.1,1.15,1.0
