,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.31,1.4,0.75,0.79,0.69,0.5,1.39,1.33,1.64,1.51,0.97,1.58,2.01,1.43,1.07,1.63
e_1,0.9,2.32,0.7,0.98,0.84,0.59,1.4,1.42,2.98,1.6,1.72,1.62,2.16,1.47,0.99,1.92
d_1,0.92,0.82,2.38,0.65,0.67,0.52,1.45,1.47,1.21,3.15,1.83,2.01,2.35,1.71,1.59,1.91
c_1,0.85,0.81,0.83,2.51,1.39,0.55,1.45,1.41,1.47,0.77,1.6,1.03,1.69,1.29,1.54,1.55
b_1,0.92,0.81,0.82,0.75,2.67,1.37,1.66,1.4,1.71,1.34,1.41,0.89,2.04,1.02,1.44,1.71
a_1,0.96,0.86,0.95,0.72,0.71,3.19,1.82,1.64,1.33,1.73,1.79,1.83,2.39,0.67,1.35,1.89
h_1,1.3,0.88,1.01,0.91,0.77,0.74,3.32,1.91,1.83,1.37,1.62,1.41,1.49,1.33,1.43,2.69
g_1,0.92,0.84,1.37,0.97,0.71,0.62,1.59,3.4,1.52,1.79,2.37,1.45,2.02,1.73,1.63,1.41
d_0,0.91,0.9,0.52,1.7,0.95,0.81,1.56,1.63,3.07,1.16,1.84,1.36,2.08,1.56,1.42,1.78
c_0,1.09,0.94,1.14,0.73,0.6,0.6,1.83,1.63,1.76,3.24,1.68,3.66,2.29,2.09,1.68,2.34
f_0,0.75,0.76,1.07,0.98,0.95,0.68,1.95,1.62,1.88,2.05,3.33,1.58,2.32,1.27,3.42,2.5
b_0,1.09,0.78,1.15,1.1,0.53,0.47,1.63,1.51,2.05,1.81,1.85,3.36,2.77,3.33,1.79,2.53
h_0,1.31,0.96,0.97,0.84,0.7,0.64,1.23,2.19,1.81,1.72,1.77,1.92,1.76,1.77,1.53,2.59
a_0,0.98,0.86,1.14,0.97,0.94,0.39,1.98,1.61,1.69,1.74,1.69,1.59,2.55,3.43,1.9,2.42
e_0,1.05,0.62,1.02,0.96,0.86,0.84,2.01,1.6,2.07,1.84,1.93,1.96,2.86,1.62,3.35,1.84
g_0,0.89,0.8,1.35,0.89,0.82,0.67,1.53,1.27,1.48,2.31,2.87,1.85,2.37,1.8,2.02,1.67
