,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,21.83,0.75,0.33,0.34,0.29,0.29,0.7,0.81,0.71,0.56,0.83,0.2,0.92,0.88,0.72,0.67
e_1,0.3,23.93,0.27,0.41,0.44,0.4,0.54,0.67,1.66,0.86,0.77,0.83,0.65,0.74,0.84,0.13
d_1,0.38,0.23,28.1,0.26,0.3,0.37,0.85,0.85,0.19,1.67,1.01,1.02,1.01,0.73,0.82,0.89
c_1,0.31,0.36,0.29,27.87,0.69,0.35,0.81,0.68,0.73,0.17,0.51,1.02,0.78,0.94,0.74,0.67
b_1,0.34,0.34,0.3,0.41,32.08,0.68,0.79,0.57,0.66,0.72,0.13,0.61,1.15,0.45,0.99,0.88
a_1,0.39,0.26,0.44,0.27,0.39,45.61,0.76,0.72,0.68,0.68,0.82,0.91,1.17,0.27,0.63,0.71
h_1,1.03,0.62,0.62,0.66,0.46,0.49,9.59,1.52,1.31,1.63,1.58,1.14,0.57,1.55,2.53,1.67
g_1,0.55,0.47,1.08,0.66,0.52,0.55,1.3,11.97,1.23,1.16,1.39,2.52,1.28,1.57,0.58,1.16
d_0,0.78,0.49,0.2,1.6,0.6,0.63,1.15,0.97,5.47,1.35,1.7,1.48,1.12,0.94,1.39,2.3
c_0,0.79,0.53,0.84,0.25,0.45,0.56,1.65,1.23,1.62,5.79,3.84,1.36,2.13,1.9,2.23,2.19
b_0,0.83,0.53,0.82,0.72,0.21,0.6,1.49,1.71,1.58,1.6,6.5,1.32,1.69,3.09,1.96,2.01
f_0,0.12,0.52,1.02,0.74,0.66,0.7,1.55,1.36,2.03,2.38,1.63,7.63,1.54,1.68,2.3,3.74
h_0,0.97,0.59,0.68,0.7,0.63,0.51,0.5,1.73,1.35,1.35,1.51,1.38,0.37,1.55,1.93,1.43
a_0,0.8,0.51,0.77,0.58,0.66,0.2,1.66,1.09,1.49,1.26,1.67,1.94,1.95,8.82,1.99,2.64
g_0,0.58,0.51,1.49,0.62,0.51,0.66,0.85,0.47,1.48,1.23,1.57,2.22,1.32,1.36,0.8,1.58
e_0,1.05,0.14,0.74,0.73,0.56,0.48,1.38,1.4,1.61,1.75,1.84,1.44,1.94,2.21,1.84,10.07
