,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.26,0.5,0.49,0.55,0.39,0.38,0.85,1.8,0.63,0.89,1.0,1.0,1.35,0.63,1.26,0.36
f_1,0.88,2.32,0.5,0.42,0.37,0.26,0.8,0.99,0.71,0.97,1.0,0.36,1.38,0.7,1.03,0.52
d_1,0.53,0.56,2.38,0.36,0.38,0.32,0.87,0.34,1.03,1.87,0.98,1.01,1.17,0.97,1.1,0.74
c_1,0.39,0.51,0.41,2.46,0.9,0.32,0.88,1.13,0.66,0.42,0.85,0.82,1.21,0.8,0.99,0.81
b_1,0.41,0.46,0.48,0.51,2.6,0.81,0.81,1.07,0.67,0.88,0.41,1.02,0.93,0.67,0.82,1.04
a_1,0.51,0.62,0.41,0.54,0.43,3.02,0.82,1.01,0.67,0.83,0.76,0.89,1.13,0.26,1.22,0.8
h_1,0.58,0.79,0.63,0.49,0.41,0.5,3.11,1.2,1.24,1.19,1.23,1.19,0.89,0.8,2.07,1.09
d_0,0.6,0.62,0.27,1.22,0.59,0.39,1.07,2.48,0.84,0.75,1.07,1.16,1.68,1.07,1.38,1.05
g_1,0.53,0.53,0.99,0.54,0.5,0.28,0.98,1.07,3.46,1.16,1.23,1.66,1.6,1.07,0.65,1.03
c_0,0.59,0.69,0.65,0.34,0.38,0.49,1.32,0.94,1.02,2.73,2.32,1.41,1.83,1.24,1.58,1.24
b_0,0.62,0.59,0.69,0.58,0.23,0.39,1.17,1.39,0.87,1.14,2.82,1.38,1.77,2.25,1.69,1.15
f_0,0.49,0.39,0.63,0.69,0.59,0.51,1.1,1.34,1.05,1.05,1.27,2.87,1.59,1.13,1.7,2.1
h_0,0.59,0.81,0.67,0.63,0.53,0.31,0.53,1.22,1.38,1.12,1.36,1.17,0.79,0.95,1.63,1.0
a_0,0.62,0.76,0.62,0.66,0.54,0.11,1.14,1.21,1.11,1.12,1.43,1.4,1.95,3.03,1.23,0.98
g_0,0.58,0.46,1.05,0.61,0.5,0.44,0.89,1.09,0.61,0.94,1.1,1.94,1.34,0.96,1.01,1.31
e_0,0.27,0.61,0.68,0.88,0.6,0.56,1.01,1.09,0.96,1.1,1.27,1.4,1.61,0.94,1.29,3.13
