,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.1,1.78,2.95,3.07,3.32,3.13,0.8,0.88,0.71,0.66,0.68,0.6,0.59,0.45,1.24,0.49
f_1,2.89,1.1,3.01,2.84,3.14,2.63,0.63,0.98,0.62,0.54,0.84,0.58,0.57,0.3,0.53,0.44
c_1,2.69,3.33,1.11,4.4,3.07,2.72,1.0,0.93,0.38,0.89,0.69,0.72,0.73,0.46,0.66,0.43
d_1,3.89,3.77,3.78,1.09,3.29,3.17,0.97,0.58,1.22,0.62,0.7,0.62,0.68,0.45,0.53,0.3
b_1,3.31,3.85,2.09,4.1,1.11,3.29,1.2,1.21,0.81,0.97,0.75,1.5,0.85,0.61,0.71,0.55
a_1,6.34,7.67,5.97,5.79,2.94,1.14,1.67,1.7,1.46,1.39,1.09,1.81,1.89,1.09,1.24,1.0
h_1,10.74,11.33,10.81,10.71,11.97,8.12,1.59,3.4,2.3,2.24,2.18,2.23,2.09,2.17,1.8,1.63
g_1,13.48,14.24,13.74,12.79,15.52,13.68,3.09,1.66,3.17,2.23,2.62,2.44,2.55,1.58,2.31,2.34
d_0,8.36,13.34,14.09,24.5,12.89,14.0,4.39,5.22,1.99,3.18,2.79,3.76,3.29,1.89,3.38,2.51
c_0,19.72,20.59,26.59,10.03,18.54,17.01,5.83,4.77,5.56,2.05,3.64,3.18,3.19,2.67,3.13,2.8
f_0,17.35,25.2,20.1,18.06,17.68,15.17,5.27,3.38,3.8,3.48,2.04,3.76,3.07,3.09,3.9,1.82
b_0,20.7,20.13,22.58,15.19,23.94,16.85,5.11,4.7,4.05,1.82,3.3,1.95,3.61,2.52,2.95,2.77
a_0,24.65,23.4,26.59,18.7,28.42,27.58,7.05,6.57,5.07,3.55,3.89,2.43,2.14,3.02,4.62,3.26
h_0,23.72,23.55,24.24,20.79,23.94,22.47,9.6,6.76,6.25,4.66,4.96,5.45,4.37,4.42,4.74,3.4
e_0,36.38,40.48,26.59,21.64,25.55,21.41,7.8,7.24,6.48,5.57,2.76,6.48,4.61,3.97,2.36,3.43
g_0,28.82,31.33,33.3,27.01,28.42,28.44,6.94,10.76,6.8,6.07,6.68,6.83,6.19,3.36,6.88,5.75
