,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.07,0.95,1.19,1.07,0.99,1.25,0.96,0.96,1.07,1.16,1.13,1.12,1.01,1.18
f_1,1.32,1.0,1.07,0.93,0.92,0.9,0.79,0.97,0.83,0.88,0.95,0.75,0.86,1.16,0.84,1.06
c_1,0.93,0.94,1.0,1.41,1.32,0.97,1.01,0.64,0.77,0.77,0.94,0.93,0.88,0.85,1.21,0.99
d_1,1.05,1.07,0.71,1.0,0.95,1.05,1.01,1.18,1.22,1.25,0.92,1.05,1.0,0.98,0.99,0.87
b_1,0.84,1.08,0.76,1.05,1.0,1.49,1.15,1.25,0.97,1.15,0.92,1.19,1.2,0.98,0.92,0.89
a_1,0.93,1.11,1.03,0.95,0.67,1.0,1.07,1.32,1.38,1.25,1.05,0.95,1.14,1.02,1.1,0.99
h_1,0.97,1.26,1.01,1.0,0.88,0.91,1.0,0.82,0.86,0.87,1.06,0.98,0.69,0.78,1.01,1.09
d_0,0.78,1.08,1.55,0.87,0.83,0.77,1.16,1.0,0.94,1.01,1.14,0.82,1.1,0.91,1.26,1.15
c_0,1.04,1.23,1.36,0.8,1.0,0.78,1.15,1.01,1.0,1.19,0.92,1.04,0.99,0.94,0.91,0.83
b_0,1.01,1.19,1.27,0.73,0.91,0.79,1.11,0.96,0.89,1.0,0.97,0.87,0.99,1.29,0.87,1.17
g_1,0.93,1.07,1.13,1.05,1.04,0.91,0.95,0.89,1.04,1.03,1.0,1.04,0.85,0.88,0.84,1.22
f_0,0.84,1.38,1.13,0.97,0.87,0.99,1.02,1.22,0.98,1.12,1.01,1.0,1.09,0.91,1.3,0.85
h_0,0.86,1.21,1.17,0.98,0.83,0.86,1.39,0.9,1.03,1.01,1.22,0.87,1.0,1.02,0.87,1.11
a_0,0.88,0.88,1.23,1.03,0.97,0.89,1.38,1.14,0.93,0.77,1.13,1.18,0.95,1.0,1.03,1.08
e_0,0.98,1.25,0.87,1.09,1.0,0.85,0.99,0.87,1.07,1.25,1.29,0.76,1.22,1.0,1.0,1.12
g_0,0.78,0.97,1.01,1.18,1.09,0.94,0.91,0.91,1.13,0.86,,1.17,0.89,0.9,0.98,1.0
