,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,36.3,0.06,0.1,0.07,0.08,0.06,0.37,0.18,0.46,0.48,0.36,,0.58,0.37,0.39,0.37
d_1,0.07,38.14,0.05,0.06,0.06,0.06,0.32,0.31,0.69,,0.37,0.57,0.52,0.37,0.68,0.37
e_1,0.08,0.06,38.91,0.05,0.06,0.07,0.32,0.25,0.35,0.7,0.31,0.32,0.68,0.31,0.61,
c_1,0.08,0.06,0.07,44.35,0.13,0.08,0.26,0.25,,0.55,0.23,0.38,0.56,0.36,0.6,0.35
b_1,0.07,0.09,0.05,0.1,49.27,0.12,0.32,0.26,0.28,0.35,,0.39,0.57,0.27,0.37,0.48
a_1,0.08,0.06,0.08,0.04,0.06,66.0,0.37,0.3,0.37,0.31,0.5,,0.69,,0.57,
h_1,0.33,0.22,0.26,0.31,0.28,0.22,26.33,1.29,1.75,1.42,1.62,1.33,,0.96,3.1,1.65
g_1,0.27,0.38,0.22,0.23,0.26,0.27,1.04,34.09,1.58,0.93,1.47,2.3,2.32,1.82,,
c_0,0.37,0.36,0.35,,0.26,0.38,1.45,1.76,17.67,2.0,4.08,2.34,3.39,,3.24,1.36
d_0,0.42,,0.33,0.83,0.33,0.38,1.23,1.97,1.48,17.91,2.81,1.72,2.85,1.51,2.45,2.3
b_0,0.26,0.42,0.37,0.28,,,1.64,1.2,1.85,2.16,20.65,2.63,4.12,3.96,2.95,2.37
f_0,,0.34,0.34,0.35,0.43,0.26,1.62,2.1,1.74,2.22,2.07,22.06,3.11,1.64,3.16,3.7
h_0,0.51,0.67,0.58,0.59,0.48,0.64,,2.92,3.89,2.78,2.7,2.28,,3.54,5.93,2.85
a_0,0.27,0.39,0.45,0.33,0.38,,1.66,1.14,1.4,1.63,1.36,1.78,3.9,35.18,3.5,
g_0,0.54,0.77,0.42,0.48,0.53,0.65,1.78,,2.75,3.73,2.58,4.38,3.81,3.7,,3.91
e_0,0.26,0.33,,0.39,0.4,0.48,1.5,1.51,2.38,1.36,2.24,2.16,3.57,,3.29,32.88
