,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,14.84,0.57,0.45,0.85,0.6,0.54,0.77,0.86,2.04,0.92,0.98,1.01,0.99,0.89,0.46,0.95
f_1,1.19,15.56,0.61,0.52,0.46,0.48,0.81,0.74,0.78,0.79,0.86,0.4,0.97,0.86,0.64,0.86
d_1,0.57,0.57,19.15,0.42,0.55,0.56,0.81,0.9,0.33,2.16,1.39,0.87,1.05,1.12,1.08,0.82
c_1,0.43,0.51,0.5,18.59,1.35,0.57,0.96,0.75,0.91,0.32,0.7,0.92,0.88,0.94,0.91,0.96
b_1,0.44,0.67,0.56,0.62,18.83,1.22,1.07,0.83,0.76,0.69,0.32,0.99,0.82,0.56,1.15,0.81
a_1,0.58,0.6,0.57,0.55,0.43,28.16,0.98,0.96,0.98,0.91,0.96,1.14,1.03,0.65,0.93,1.18
h_1,0.59,1.19,0.91,0.61,0.71,0.58,4.95,1.69,0.97,0.96,0.96,1.0,0.6,0.96,1.14,1.89
g_1,0.55,0.59,1.66,0.59,0.7,0.58,0.98,6.16,1.04,1.18,0.97,2.21,1.01,1.09,1.19,0.78
d_0,0.65,0.73,0.34,1.98,0.74,0.91,0.98,0.99,2.79,0.76,1.23,1.23,1.26,1.06,1.1,0.88
c_0,0.72,0.87,0.87,0.46,0.44,0.71,1.15,1.26,1.15,3.28,3.24,1.17,1.44,1.75,1.25,1.24
b_0,0.86,0.8,0.77,0.76,0.33,0.59,1.11,1.24,1.34,1.53,3.68,1.3,1.49,3.23,1.25,1.35
f_0,0.58,0.42,0.88,0.77,0.72,0.84,1.32,1.28,1.36,1.08,1.11,3.41,1.39,1.19,4.09,1.45
h_0,0.82,1.27,0.8,0.68,0.65,0.6,0.71,1.58,0.97,1.31,1.06,1.2,0.87,1.17,0.93,1.93
a_0,0.84,0.9,0.89,0.67,0.66,0.38,1.15,1.3,0.92,1.25,1.47,1.25,1.37,4.63,1.41,1.32
e_0,0.31,0.8,1.07,0.71,0.66,0.71,1.51,1.31,1.17,1.26,1.54,1.66,1.41,1.28,4.83,1.85
g_0,0.6,0.63,1.45,0.8,0.62,0.64,1.06,0.84,0.89,1.22,1.19,2.32,1.16,1.09,1.61,0.72
