,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.94,0.41,0.4,0.48,0.39,0.26,0.33,0.25,0.42,0.2,0.23,0.23,0.24,0.19,0.16,0.15
f_1,0.68,0.94,0.36,0.4,0.31,0.26,0.27,0.24,0.28,0.27,0.23,0.14,0.19,0.18,0.14,0.14
d_1,0.44,0.5,0.94,0.33,0.4,0.27,0.29,0.24,0.21,0.41,0.26,0.24,0.27,0.19,0.18,0.17
c_1,0.42,0.44,0.48,0.94,0.59,0.27,0.3,0.24,0.22,0.16,0.15,0.21,0.26,0.22,0.18,0.15
b_1,0.43,0.5,0.44,0.38,0.94,0.45,0.25,0.23,0.29,0.32,0.18,0.26,0.28,0.23,0.17,0.19
a_1,0.53,0.55,0.46,0.53,0.4,0.93,0.38,0.33,0.32,0.22,0.29,0.27,0.29,0.24,0.14,0.18
h_1,0.61,0.82,0.67,0.64,0.58,0.36,0.75,0.45,0.37,0.37,0.37,0.44,0.29,0.41,0.27,0.27
g_1,0.7,0.69,0.93,0.69,0.54,0.39,0.48,0.74,0.34,0.42,0.34,0.57,0.37,0.27,0.32,0.29
d_0,0.64,0.79,0.42,1.14,0.63,0.43,0.5,0.45,0.65,0.32,0.41,0.42,0.41,0.33,0.29,0.3
c_0,0.85,0.71,0.7,0.62,0.45,0.54,0.59,0.46,0.54,0.66,0.77,0.46,0.41,0.44,0.33,0.27
b_0,0.74,0.81,0.8,0.92,0.54,0.44,0.59,0.47,0.49,0.34,0.65,0.39,0.47,0.42,0.54,0.3
f_0,0.65,0.65,0.82,0.81,0.64,0.52,0.45,0.43,0.5,0.48,0.44,0.64,0.49,0.43,0.39,0.56
h_0,0.83,1.23,0.73,0.77,0.65,0.49,0.44,0.58,0.51,0.47,0.42,0.37,0.36,0.5,0.33,0.28
g_0,0.82,0.89,1.25,0.81,0.74,0.53,0.53,0.36,0.49,0.43,0.44,0.56,0.44,0.32,0.28,0.29
a_0,0.9,0.95,0.8,0.88,0.72,0.5,0.6,0.45,0.55,0.57,0.43,0.41,0.55,0.45,0.6,0.29
e_0,0.53,0.94,0.86,0.96,0.79,0.56,0.69,0.48,0.57,0.54,0.48,0.42,0.5,0.47,0.38,0.61
