,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,1.29,0.89,1.52,1.34,1.08,0.66,0.57,0.63,0.51,0.47,0.52,0.4,0.47,0.73,0.46
d_1,1.65,0.65,1.37,1.28,1.2,1.12,0.55,0.78,0.41,0.48,0.46,0.46,0.34,0.4,0.41,0.28
f_1,1.51,1.22,0.65,1.26,1.2,1.11,0.45,0.48,0.68,0.44,0.48,0.68,0.35,0.45,0.39,0.36
c_1,1.06,1.56,1.41,0.64,1.74,1.13,0.63,0.32,0.56,0.68,0.41,0.47,0.35,0.4,0.48,0.43
b_1,1.43,1.5,1.45,0.84,0.62,1.83,0.66,0.58,0.73,0.64,0.76,0.53,0.53,0.45,0.53,0.42
a_1,1.99,1.8,1.86,1.76,0.83,0.57,0.79,0.63,0.78,0.71,0.79,0.58,0.49,1.04,0.58,0.51
h_1,1.78,2.01,2.4,1.88,1.89,1.69,0.57,0.7,0.91,0.72,0.7,0.61,0.73,0.62,0.58,0.57
d_0,1.37,2.64,2.15,2.55,2.32,2.31,1.14,0.61,1.02,0.67,0.77,0.74,0.69,0.75,0.65,0.65
g_1,2.34,2.35,1.98,2.26,1.92,1.78,0.85,0.8,0.54,0.76,0.78,0.81,0.48,0.63,0.69,0.78
c_0,2.16,1.44,2.56,3.53,2.06,1.81,1.14,1.23,1.03,0.59,0.98,0.8,0.74,0.76,0.7,0.56
b_0,2.28,1.99,2.32,3.15,3.68,2.1,0.97,0.81,1.01,0.53,0.59,0.75,0.8,0.96,0.7,0.66
f_0,2.24,2.14,3.49,2.45,2.28,2.16,1.21,1.03,0.65,0.86,0.78,0.58,0.67,0.85,1.01,0.54
h_0,2.42,2.48,2.62,2.92,2.43,2.17,1.54,0.94,1.41,0.81,0.76,0.95,0.94,0.74,0.69,0.79
a_0,2.37,2.82,2.4,2.72,3.96,2.89,1.15,0.97,1.43,0.92,0.56,0.95,0.84,0.58,0.81,0.69
e_0,2.63,2.68,3.71,2.83,2.71,2.18,1.43,1.07,1.12,0.95,0.97,0.53,0.93,0.91,0.55,0.74
g_0,2.61,2.59,2.94,2.78,2.69,2.39,1.1,1.06,1.37,1.09,1.06,1.08,0.61,1.06,0.79,1.02
