,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.2,0.03,0.03,0.03,0.02,0.02,0.05,0.13,0.05,0.07,0.06,0.06,0.06,0.03,,0.08
f_1,0.06,2.21,0.03,0.02,0.02,0.01,0.05,0.07,0.05,0.07,0.06,,0.08,0.05,0.05,0.07
c_1,0.02,0.03,2.4,0.03,0.05,0.03,0.06,0.08,0.06,,0.04,0.05,0.06,0.05,0.05,0.07
d_1,0.02,0.04,0.02,2.42,0.03,0.02,0.07,,0.06,0.12,0.05,0.05,0.08,0.06,0.04,0.04
b_1,0.03,0.03,0.04,0.03,2.53,0.04,0.04,0.06,0.04,0.06,,0.06,0.11,0.03,0.03,0.07
a_1,0.04,0.03,0.03,0.03,0.02,2.95,0.05,0.06,0.07,0.06,0.04,0.05,0.06,,,0.06
h_1,0.11,0.18,0.1,0.11,0.1,0.07,2.73,0.24,0.22,0.24,0.22,0.18,,0.26,0.13,0.24
d_0,0.11,0.16,0.28,,0.15,0.09,0.31,1.89,0.22,0.3,0.23,0.33,0.48,0.25,0.25,0.31
g_1,0.08,0.1,0.08,0.18,0.12,0.07,0.11,0.33,2.97,0.31,0.3,0.2,0.3,,0.13,
c_0,0.15,0.14,,0.17,0.09,0.12,0.25,0.24,0.19,2.17,0.65,0.23,0.41,0.23,0.19,0.36
b_0,0.17,0.14,0.12,0.13,,0.13,0.46,0.21,0.23,0.3,2.07,0.28,0.39,0.49,0.16,0.43
f_0,0.13,,0.14,0.13,0.16,0.11,0.21,0.41,0.19,0.22,0.38,2.18,0.4,0.26,0.64,0.28
h_0,0.24,0.37,0.21,0.18,0.19,0.18,,0.41,0.36,0.34,0.53,0.56,,0.25,0.43,0.57
a_0,0.14,0.16,0.15,0.14,0.1,,0.25,0.36,,0.32,0.25,0.42,0.41,2.56,0.28,0.25
e_0,,0.13,0.14,0.14,0.13,,0.33,0.34,0.25,0.21,0.28,0.3,0.59,0.27,2.74,
g_0,0.24,0.13,0.15,0.24,0.22,0.14,0.43,0.41,,0.48,0.25,0.88,0.84,0.42,,
