,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.74,0.99,1.29,1.85,4.58,17.38,30.48,27.73,43.78,32.88,50.51,75.43,78.68,107.26,129.59
f_1,1.34,1.0,1.01,1.24,1.44,4.06,13.61,24.75,25.51,25.78,31.65,42.32,55.73,79.71,79.65,83.37
d_1,1.01,0.99,1.0,1.3,1.62,3.72,17.66,19.41,31.95,32.26,34.64,42.35,63.88,70.41,91.83,80.23
c_1,0.77,0.81,0.77,1.0,1.99,2.71,12.05,23.27,17.54,15.46,26.84,29.01,61.02,75.4,72.21,80.26
b_1,0.54,0.69,0.62,0.5,1.0,3.96,8.2,13.24,15.45,14.5,13.32,20.67,38.59,42.07,47.28,48.92
a_1,0.22,0.25,0.27,0.37,0.25,1.0,5.12,6.04,5.53,7.88,7.39,10.06,24.09,23.35,18.47,29.91
h_1,0.05,0.08,0.06,0.08,0.12,0.19,1.0,1.7,1.51,1.49,2.03,2.05,3.78,6.2,5.42,7.49
g_1,0.03,0.04,0.05,0.04,0.07,0.16,0.6,1.0,1.03,0.96,1.13,2.07,2.69,4.2,3.42,4.21
c_0,0.04,0.04,0.03,0.06,0.07,0.18,0.62,0.96,1.0,1.07,1.52,1.55,3.05,3.48,3.28,4.43
d_0,0.02,0.04,0.03,0.07,0.07,0.15,0.66,0.99,0.96,1.0,1.05,1.51,2.62,3.5,3.35,3.8
b_0,0.03,0.03,0.03,0.04,0.07,0.14,0.5,0.9,0.63,0.93,1.0,1.33,2.71,4.19,3.48,3.12
f_0,0.02,0.02,0.02,0.03,0.04,0.1,0.49,0.49,0.63,0.69,0.77,1.0,1.85,2.68,3.54,1.89
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.27,0.38,0.32,0.38,0.35,0.54,1.0,1.16,1.39,1.7
a_0,0.01,0.01,0.01,0.01,0.02,,0.17,0.25,0.28,0.25,0.23,0.38,0.84,1.0,1.09,0.99
e_0,0.01,0.01,0.01,0.01,0.02,0.05,0.19,0.27,0.28,0.29,0.3,0.29,0.66,1.1,1.0,1.34
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.24,0.22,0.27,0.32,0.51,0.61,0.95,0.75,1.0
