,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,105.59,99.35,80.75,87.51,130.35,359.83,8322.74,18803.14,25924.43,26844.86,36137.38,39599.66,95567.5,96752.22,103742.98,182921.72
e_1,57.64,113.0,105.9,77.42,133.87,394.29,9359.13,22409.21,39707.26,27730.84,38553.26,50879.16,100885.27,98130.15,114202.63,201182.23
c_1,57.38,53.26,134.26,90.53,184.7,404.02,8269.82,18274.02,19577.71,15253.52,25786.87,42661.13,98422.1,87531.24,134212.45,168387.86
d_1,60.81,64.48,63.21,137.89,128.45,365.06,8494.19,16108.86,17157.83,38785.91,40213.72,45182.18,95414.78,109101.09,139550.51,154920.83
b_1,51.73,51.69,61.78,63.28,196.32,600.89,7523.88,16244.59,20382.05,23916.14,21186.56,39291.45,75071.09,76263.35,119512.97,147920.49
a_1,39.08,39.41,45.04,54.22,57.62,516.62,5573.5,11031.39,13135.68,15246.68,21410.53,24839.13,55080.17,45136.41,70443.52,80181.43
h_1,18.99,16.06,20.89,24.15,32.71,91.53,3205.82,6233.23,5938.49,6914.86,8898.05,10813.98,23203.71,24821.53,35078.28,64296.48
g_1,11.85,10.15,16.81,24.51,23.9,83.56,1599.12,6011.09,4447.59,5337.9,6998.45,12985.24,18453.38,22686.54,33863.08,32064.14
d_0,11.24,10.49,26.62,13.53,27.39,77.65,1670.35,3766.47,5845.83,3767.14,6745.58,8743.69,20822.22,17016.61,27670.69,40656.31
c_0,13.22,12.38,15.58,14.99,19.89,86.63,1847.12,3584.13,5006.13,6397.16,10693.07,8804.49,19908.52,22147.97,28822.23,31474.34
b_0,12.08,11.21,16.83,14.24,17.12,67.65,1581.94,3399.79,4041.34,4054.62,8098.67,7571.0,19521.47,27567.24,23329.44,33574.5
f_0,8.93,8.65,15.37,13.06,20.34,73.66,1638.15,2959.91,4197.74,4160.21,4984.78,10192.86,16792.58,12364.82,37824.24,28579.05
h_0,9.98,9.06,10.68,11.29,16.55,52.33,839.57,3202.22,2877.25,3324.69,4147.56,6406.17,11869.32,13010.12,15111.31,28930.99
a_0,8.06,8.79,10.26,10.02,16.38,51.17,1166.16,1989.0,2452.48,3250.31,3931.54,5810.9,12977.6,17988.12,14101.29,22166.84
e_0,8.16,5.79,9.27,8.85,15.86,51.52,1031.52,2327.65,2798.9,2619.15,3895.29,5064.97,13406.55,11657.43,22798.88,21700.56
g_0,6.07,6.04,8.94,11.97,14.46,47.0,844.83,2130.72,2157.69,3039.51,3542.92,6510.69,10425.03,10362.86,15383.6,16447.41
