,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,10.79,10.77,8.65,10.57,6.29,2.32,2.47,2.86,2.12,2.65,,1.91,2.25,2.37,2.0
e_1,5.59,1.07,9.35,8.83,8.96,6.75,3.03,3.19,3.52,4.68,2.64,2.65,2.18,2.31,,1.92
c_1,9.73,8.82,1.07,12.41,10.53,8.18,3.43,2.1,3.15,,2.76,2.42,2.89,2.78,2.41,1.74
d_1,9.47,12.95,8.64,1.07,10.74,8.78,3.54,,2.15,4.21,2.97,2.72,1.89,2.66,2.54,1.55
b_1,9.62,10.57,6.92,10.7,1.07,12.09,5.6,3.02,3.96,3.75,,3.55,2.28,3.45,2.99,1.72
a_1,19.55,15.84,12.24,18.16,8.93,1.07,5.93,4.02,,3.88,,4.24,3.31,,,3.16
h_1,16.53,16.1,12.38,12.63,10.26,13.86,1.41,3.76,6.68,4.54,3.57,3.73,,3.53,4.07,3.37
d_0,15.35,8.82,14.58,,11.96,12.6,5.9,1.7,4.83,3.05,4.41,3.36,2.67,3.25,3.45,4.12
g_1,23.62,14.72,20.56,19.23,17.96,,4.66,6.19,1.41,5.54,4.63,4.98,2.98,4.58,4.31,
c_0,21.18,13.13,,8.34,15.23,16.72,5.3,5.51,4.32,1.71,3.98,4.76,3.68,5.41,3.25,3.36
b_0,17.12,17.23,21.49,17.26,,,7.45,4.21,6.98,2.88,1.68,5.81,4.28,5.05,4.04,4.03
f_0,,23.85,17.52,18.74,12.88,14.84,7.84,6.99,4.69,5.37,5.08,1.7,3.44,4.62,5.56,2.8
h_0,15.19,14.78,15.47,15.05,14.36,12.3,,6.13,7.76,4.11,4.03,4.45,,3.92,3.65,3.36
a_0,23.21,28.01,17.54,20.0,25.53,,8.6,7.07,7.0,5.64,4.59,6.0,5.18,1.72,,4.68
e_0,22.8,,26.07,22.41,16.87,,6.71,8.94,7.14,8.11,6.15,3.79,6.21,,1.72,4.87
g_0,19.18,23.36,21.03,21.43,30.56,17.1,5.51,4.79,,6.62,6.39,5.41,2.94,5.24,4.09,
