,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,5.34,0.09,0.08,0.07,0.1,0.07,0.28,0.7,0.28,0.43,0.26,0.39,0.62,0.45,,0.4
f_1,0.16,5.37,0.09,0.07,0.08,0.08,0.26,0.38,0.38,0.29,0.26,,0.53,0.47,0.37,0.58
c_1,0.1,0.08,6.2,0.09,0.15,0.07,0.38,0.34,,0.21,0.28,0.34,0.58,0.24,0.53,0.67
d_1,0.07,0.08,0.03,6.69,0.09,0.1,0.36,,0.6,0.56,0.31,0.42,0.7,0.36,0.49,0.7
b_1,0.06,0.09,0.08,0.1,7.5,0.15,0.34,0.54,0.31,,0.19,0.4,0.48,0.31,0.31,0.62
a_1,0.05,0.08,0.07,0.06,0.06,10.82,0.31,0.51,0.45,0.37,0.3,0.46,0.91,,0.48,0.43
h_1,0.31,0.43,0.31,0.32,0.25,0.28,14.93,1.44,1.23,1.22,1.24,1.76,,1.24,1.64,2.98
d_0,0.46,0.32,0.82,,0.34,0.3,1.44,11.48,2.18,2.06,1.62,1.55,2.82,1.76,1.87,3.28
c_0,0.42,0.51,,0.5,0.36,0.23,1.52,1.9,13.22,2.86,1.33,1.98,3.39,2.26,1.96,2.71
b_0,0.57,0.4,0.38,0.38,,,1.57,1.92,2.09,16.2,1.49,1.74,2.95,3.17,,3.07
g_1,0.22,0.26,0.24,0.46,0.26,0.32,1.36,1.35,1.57,1.77,23.81,1.97,2.04,,1.44,
f_0,0.25,,0.36,0.32,0.28,0.46,1.37,2.51,2.41,2.45,1.87,17.66,3.82,2.17,3.45,2.77
h_0,0.5,0.69,0.76,0.7,0.37,0.79,,2.65,3.68,3.31,2.88,2.5,,2.83,2.66,5.27
a_0,0.29,0.34,0.39,0.46,0.4,,1.32,2.2,1.85,2.31,1.61,2.44,2.51,21.05,2.06,2.91
e_0,,0.51,0.31,0.4,0.4,0.45,1.72,,2.61,1.8,1.83,2.44,3.99,2.06,22.46,2.26
g_0,0.4,0.42,0.69,0.81,0.73,0.47,2.41,2.42,3.68,2.18,,4.71,4.88,2.71,2.46,
