,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.42,1.47,1.21,1.32,1.22,1.09,0.52,0.68,0.67,0.56,1.17,0.63,0.36,0.51,0.48,0.57
e_1,0.85,0.42,1.34,1.32,1.27,1.38,0.75,0.75,0.72,0.57,0.73,0.7,0.53,0.62,1.35,0.49
d_1,1.33,1.38,0.41,1.31,1.24,1.17,0.7,0.56,1.5,0.63,0.52,0.49,0.5,0.52,0.63,0.33
c_1,1.33,1.27,1.35,0.38,1.57,1.29,0.67,0.75,0.34,0.97,0.57,0.51,0.49,0.57,0.53,0.52
b_1,1.52,1.19,1.47,0.77,0.36,1.53,0.77,0.73,0.59,0.59,0.54,1.37,0.57,0.49,0.59,0.46
a_1,1.35,1.59,1.45,1.51,0.78,0.3,0.68,0.56,0.47,0.75,0.69,0.71,0.55,1.23,0.61,0.5
h_1,1.03,1.08,0.96,1.06,0.79,0.88,0.26,0.56,0.45,0.39,0.37,0.45,0.57,0.48,0.37,0.37
g_1,1.05,0.88,0.97,0.94,0.99,1.07,0.44,0.24,0.43,0.47,0.46,0.43,0.28,0.63,0.47,0.5
d_0,1.14,0.57,1.39,1.28,0.78,1.43,0.5,0.63,0.27,0.48,0.45,0.41,0.34,0.48,0.32,0.56
c_0,1.01,0.84,0.59,3.55,1.32,0.84,0.65,0.55,0.47,0.26,0.36,0.59,0.39,0.55,0.46,0.38
f_0,1.55,0.83,0.88,0.92,1.14,1.02,0.6,0.42,0.39,0.46,0.25,0.39,0.46,0.4,0.49,0.34
b_0,0.84,0.83,0.93,1.3,1.97,0.92,0.54,0.51,0.42,0.23,0.48,0.24,0.35,0.62,0.4,0.34
h_0,1.2,0.86,0.86,1.08,0.88,0.81,0.82,0.61,0.51,0.42,0.35,0.4,0.55,0.41,0.37,0.5
a_0,0.93,0.89,0.92,0.96,1.7,,0.53,0.39,0.39,0.31,0.51,0.24,0.36,0.21,0.46,0.43
e_0,1.15,1.44,0.8,0.9,0.94,0.94,0.55,0.47,0.56,0.38,0.27,0.46,0.48,0.36,0.21,0.32
g_0,0.99,0.92,1.01,0.97,1.1,0.99,0.45,0.92,0.4,0.37,0.33,0.38,0.26,0.36,0.54,
