,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.15,0.87,1.02,0.96,0.77,0.59,0.65,0.68,0.58,0.58,0.51,0.47,0.47,0.45,0.56
e_1,0.86,1.0,0.88,1.11,0.9,0.84,0.76,0.88,0.68,0.64,0.59,0.7,0.62,0.59,0.62,0.6
d_1,1.18,1.08,1.0,0.87,0.84,0.83,0.68,0.69,0.56,0.82,0.65,0.55,0.62,0.6,0.56,0.45
c_1,1.0,0.91,1.17,1.0,1.25,0.85,0.76,0.52,0.69,0.61,0.58,0.6,0.61,0.54,0.58,0.58
b_1,1.04,1.1,1.18,0.81,1.0,1.31,0.81,0.63,0.72,0.7,0.62,0.63,0.6,0.56,0.56,0.58
a_1,1.29,1.18,1.19,1.19,0.77,1.0,0.9,0.82,0.83,0.79,0.95,0.78,0.72,0.81,0.79,0.69
h_1,1.61,1.34,1.44,1.32,1.28,1.09,1.0,0.92,1.14,0.89,0.83,0.78,0.81,0.76,0.82,0.86
d_0,1.5,1.14,1.39,1.94,1.68,1.22,1.09,1.0,1.01,0.83,0.85,0.95,0.89,0.86,0.91,0.9
g_1,1.49,1.45,1.76,1.46,1.36,1.16,0.89,0.99,1.0,0.93,0.97,1.03,0.81,0.88,0.92,0.79
c_0,1.71,1.51,1.3,1.57,1.44,1.23,1.15,1.17,1.12,1.0,1.23,0.95,0.92,0.97,0.89,0.88
b_0,1.79,1.62,1.51,1.78,1.62,1.0,1.24,1.12,1.09,0.81,1.0,0.98,0.95,1.22,0.88,0.85
f_0,1.91,1.47,1.85,1.74,1.58,1.24,1.24,1.02,0.96,1.09,1.05,1.0,1.04,0.95,1.22,0.8
h_0,2.12,1.65,1.66,1.59,1.62,1.37,1.24,1.09,1.24,1.09,1.04,0.95,1.0,0.93,0.98,0.96
a_0,2.01,1.7,1.65,1.78,1.8,1.22,1.35,1.2,1.14,1.07,0.85,1.05,1.06,1.0,1.03,0.84
e_0,2.14,1.69,1.78,1.7,1.75,1.34,1.24,1.08,1.14,1.07,1.16,0.82,1.0,0.98,1.0,1.07
g_0,1.83,1.69,2.12,1.71,1.69,1.47,1.18,1.11,1.37,1.17,1.17,1.27,1.01,1.16,0.97,1.0
