,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,8748.74,2577.16,3621.86,4772.45,7526.02,30593.69,3044673.89,5866671.02,16197224.66,12404987.43,22118103.18,24115809.13,86577740.64,98016790.26,289311481.49,117939724.53
f_1,3658.52,10194.86,3484.55,3490.05,6884.4,35367.82,2706444.79,5164765.85,7485919.61,10863103.09,24485464.3,6382674.3,88119655.0,91530619.61,209171983.92,192605276.1
d_1,1993.89,2613.74,19552.51,3394.57,6520.92,40699.77,3204575.31,6339636.78,3468779.82,22514200.11,23116058.24,22557234.22,113466765.18,106644963.77,239239528.92,207546343.9
c_1,1842.85,1963.08,3612.48,20288.62,16282.46,28308.77,3141200.71,5874372.09,9683400.85,4739835.33,13778156.57,24874262.66,97284637.16,94163992.25,209221461.97,240712623.06
b_1,1800.49,2596.04,4114.78,3417.02,48161.9,69289.75,2694676.56,6211567.16,6413243.31,11752367.81,7516446.04,21293471.65,95168581.1,85013021.51,168427334.56,228717093.83
a_1,1777.42,2161.54,4517.78,4198.79,7800.26,318603.98,3171353.41,5927261.42,7816579.46,11919632.7,20347179.65,26732635.28,105258715.92,28727932.08,232485923.68,220813733.18
h_1,2005.91,4166.92,4665.23,5006.75,9194.6,31795.74,10251231.21,10329024.13,10932767.18,13411501.62,30546335.53,22772575.05,68920697.88,142544054.78,362304304.7,244942578.21
g_1,2042.73,2425.94,7473.57,4837.13,8486.9,43005.95,3985352.73,24801560.77,8289865.21,9295826.23,26984327.2,41358452.01,117317727.18,130217005.53,213153573.07,281183309.38
d_0,1990.31,2862.43,2180.02,10293.19,10734.81,37188.31,3733051.97,5977682.56,21024293.07,12074671.15,25038402.93,23954390.61,136311220.88,136115194.67,311919730.92,276741899.35
c_0,2605.31,3301.3,4899.23,3183.94,7275.35,42597.96,3732224.61,7585377.1,11978724.61,32444000.24,57086756.16,22576873.23,138516097.75,127187160.13,338237958.21,339577786.2
b_0,2621.56,2989.24,5747.37,6001.4,3737.17,24146.49,4453310.4,8477992.88,10211781.21,13180635.13,64260201.07,29288351.22,116430096.26,270628972.94,354246774.05,294902841.35
f_0,2109.09,1268.93,4925.54,6346.1,9427.56,48730.43,3994354.09,9514201.58,11289905.94,15583867.61,30672276.2,69239966.53,145508594.07,143822303.09,374807741.31,618038437.99
h_0,2571.78,4244.82,5559.59,5100.0,9216.39,42207.65,1959315.87,9830596.43,8555970.24,12652501.11,28507084.34,26876408.23,60624749.67,119068197.41,508427983.99,245523010.86
a_0,2388.67,2870.7,5654.76,6085.45,7784.4,16261.96,3578100.35,7316803.94,12885772.34,16197606.14,31657867.34,25758334.15,137782172.82,409907936.47,312558970.24,266009526.53
g_0,2067.78,3094.17,7877.82,4387.21,8036.46,42444.92,3355735.8,5153266.53,7404272.5,13987832.44,35573267.07,40470037.4,119349963.26,141413091.47,263836720.09,325343986.78
e_0,1217.67,2943.37,5551.04,5071.84,9707.69,47163.32,4651652.87,7821056.25,13147738.56,16662018.21,31959653.55,31958552.01,141210871.89,146288091.66,375862052.81,935663255.48
