,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.36,0.64,0.39,0.31,0.19,0.35,0.41,0.28,0.32,0.33,0.2,0.37,0.22,0.14,0.23
d_1,0.48,0.92,0.41,0.28,0.32,0.25,0.38,0.28,0.32,0.61,0.38,0.29,0.39,0.26,0.23,0.3
e_1,0.45,0.36,0.91,0.49,0.29,0.23,0.34,0.63,0.29,0.34,0.36,0.34,0.37,0.22,0.19,0.28
c_1,0.41,0.43,0.35,0.91,0.57,0.27,0.31,0.32,0.27,0.22,0.25,0.26,0.35,0.23,0.18,0.31
b_1,0.39,0.45,0.36,0.33,0.91,0.5,0.34,0.32,0.27,0.32,0.19,0.3,0.35,0.16,0.2,0.31
a_1,0.48,0.41,0.4,0.32,0.38,0.89,0.4,0.38,0.32,0.33,0.31,0.31,0.36,0.18,0.22,0.27
h_1,0.56,0.42,0.46,0.47,0.3,0.26,0.65,0.38,0.4,0.32,0.35,0.32,0.29,0.22,0.23,0.43
d_0,0.45,0.34,0.39,0.7,0.38,0.26,0.37,0.54,0.28,0.23,0.35,0.33,0.38,0.25,0.24,0.32
g_1,0.41,0.62,0.38,0.45,0.33,0.24,0.4,0.32,0.63,0.37,0.35,0.42,0.38,0.28,0.26,0.3
c_0,0.47,0.41,0.49,0.38,0.26,0.29,0.4,0.46,0.33,0.55,0.65,0.39,0.41,0.3,0.27,0.34
b_0,0.46,0.44,0.43,0.5,0.26,0.21,0.4,0.42,0.35,0.36,0.55,0.34,0.47,0.5,0.31,0.35
f_0,0.4,0.41,0.33,0.47,0.4,0.31,0.43,0.4,0.34,0.4,0.35,0.51,0.38,0.26,0.47,0.34
h_0,0.63,0.43,0.47,0.42,0.32,0.21,0.3,0.39,0.4,0.34,0.35,0.29,0.31,0.25,0.24,0.4
a_0,0.43,0.45,0.41,0.44,0.36,0.23,0.47,0.42,0.31,0.39,0.39,0.37,0.45,0.46,0.27,0.39
e_0,0.52,0.41,0.32,0.48,0.39,0.26,0.46,0.4,0.38,0.38,0.36,0.31,0.52,0.3,0.47,0.33
g_0,0.45,0.56,0.36,0.42,0.31,0.29,0.36,0.39,0.24,0.4,0.39,0.46,0.36,0.26,0.31,0.27
