,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.12,4.48,3.72,4.22,4.13,3.8,0.94,0.89,0.81,1.35,0.83,1.37,0.69,0.43,0.67,0.74
c_1,4.45,1.12,3.48,4.53,7.58,4.64,1.12,0.52,1.76,1.34,0.9,0.8,1.02,0.61,0.94,0.71
e_1,2.95,5.33,1.12,4.93,4.51,4.84,1.44,1.09,1.01,1.5,1.0,1.3,0.84,0.83,2.06,0.81
b_1,6.18,2.64,5.06,1.12,5.44,5.37,1.7,1.05,1.5,1.81,1.95,1.07,1.22,0.78,0.97,0.77
d_1,5.17,5.37,7.14,5.08,1.12,4.05,1.37,2.23,1.0,0.82,1.0,1.07,1.28,0.84,0.9,0.44
a_1,8.23,8.91,9.21,4.16,6.67,1.14,2.52,2.02,1.62,2.65,2.02,1.45,3.48,1.18,1.75,1.26
h_1,17.37,18.54,13.68,15.06,16.69,14.87,1.74,3.5,3.75,5.73,3.48,3.21,3.05,4.58,3.1,2.15
d_0,20.06,17.86,10.41,20.34,30.55,21.76,5.37,2.24,3.84,5.84,3.16,3.28,3.36,2.15,4.12,2.61
c_0,19.85,47.64,19.71,20.61,9.98,19.88,6.14,6.66,2.07,5.31,3.53,3.57,4.47,2.9,3.93,2.88
g_1,18.57,19.94,21.21,18.98,19.34,21.09,4.29,4.85,4.36,1.74,4.11,4.29,4.18,2.06,3.8,4.45
b_0,20.39,44.55,22.95,41.21,17.76,21.99,6.56,7.62,2.62,6.42,2.33,4.15,4.57,3.21,4.51,3.34
f_0,48.73,31.18,26.6,25.26,17.36,21.76,8.17,5.21,4.24,4.59,5.44,2.32,4.97,3.89,4.45,2.32
a_0,33.5,38.98,30.74,41.76,28.55,54.39,9.25,7.07,4.67,10.03,2.93,5.71,2.37,4.58,5.28,3.98
h_0,28.21,33.96,30.74,35.59,29.38,33.89,12.0,6.36,5.79,8.45,6.14,6.06,5.31,7.48,6.38,4.23
e_0,41.69,39.88,76.16,30.41,29.1,33.34,11.82,7.37,6.9,9.3,6.78,3.82,6.34,5.05,2.68,3.71
g_0,37.15,36.88,36.03,39.65,33.94,35.03,8.73,8.66,7.55,16.46,6.07,7.35,8.36,4.47,6.15,8.15
