,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.17,0.67,0.72,0.68,0.64,0.72,0.16,0.13,0.11,0.25,0.12,0.12,0.14,0.09,0.12,0.06
f_1,0.57,0.17,0.65,0.66,0.65,0.69,0.13,0.22,0.15,0.13,0.13,0.3,0.12,0.07,0.16,0.11
e_1,0.7,0.39,0.15,0.78,0.73,0.76,0.21,0.22,0.12,0.14,0.15,0.16,0.15,0.11,0.26,0.11
c_1,0.89,0.78,0.5,0.15,0.64,0.53,0.21,0.2,0.25,0.07,0.11,0.13,0.11,0.09,0.12,0.1
b_1,0.78,0.67,0.68,0.37,0.13,0.53,0.25,0.24,0.21,0.14,0.31,0.15,0.14,0.12,0.11,0.12
a_1,0.66,0.91,0.76,0.55,0.31,0.09,0.27,0.21,0.17,0.14,0.21,0.14,0.33,0.11,0.14,0.13
h_1,0.48,0.53,0.54,0.5,0.59,0.41,0.06,0.14,0.11,0.12,0.11,0.1,0.12,0.13,0.1,0.07
g_1,0.57,0.58,0.59,0.48,0.55,0.47,0.11,0.05,0.11,0.11,0.12,0.09,0.1,0.05,0.1,0.11
c_0,0.28,0.57,0.51,1.33,0.6,0.6,0.15,0.18,0.06,0.2,0.1,0.09,0.11,0.08,0.1,0.08
d_0,0.89,0.5,0.28,0.53,0.52,0.5,0.16,0.18,0.12,0.06,0.12,0.12,0.14,0.09,0.11,0.08
b_0,0.38,0.57,0.48,0.85,1.09,0.59,0.12,0.12,0.06,0.12,0.05,0.1,0.1,0.08,0.09,0.07
f_0,0.45,0.86,0.54,0.55,0.59,0.44,0.15,0.09,0.11,0.12,0.1,0.05,0.1,0.08,0.1,0.05
a_0,0.43,0.46,0.51,0.68,0.65,1.22,0.16,0.12,0.09,0.12,0.06,0.11,0.04,0.07,0.11,0.08
h_0,0.44,0.52,0.53,0.52,0.55,0.5,0.2,0.13,0.12,0.11,0.11,0.11,0.09,0.12,0.09,0.07
e_0,0.51,0.85,0.81,0.56,0.5,0.36,0.14,0.09,0.11,0.13,0.12,0.04,0.11,0.1,0.04,0.06
g_0,0.44,0.54,0.53,0.52,0.54,0.5,0.11,0.22,0.11,0.14,0.1,0.09,0.12,0.07,0.12,0.11
