,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,2.76,4.06,3.1,3.27,3.33,1.9,2.04,1.49,2.01,1.7,1.88,1.44,1.28,,1.32
f_1,3.44,0.42,3.18,4.78,4.56,3.86,1.33,1.7,1.78,2.07,1.94,,1.52,0.98,1.36,1.28
d_1,3.84,3.37,0.41,3.37,3.13,4.4,2.01,1.46,1.86,,1.58,1.67,1.27,1.24,1.71,1.15
c_1,3.95,3.55,4.63,0.38,4.38,2.81,1.83,1.57,,1.04,1.82,1.65,1.43,1.23,1.86,1.47
b_1,3.56,2.85,3.39,2.29,0.36,4.6,2.32,2.11,1.73,1.5,,1.72,2.17,1.27,1.62,1.44
a_1,3.61,3.24,3.52,4.21,2.03,0.3,2.51,1.69,1.87,1.71,1.93,1.44,,1.93,,1.6
h_1,1.9,2.17,1.65,2.02,1.76,1.45,0.28,1.28,0.78,0.9,0.81,0.7,0.72,,0.66,0.61
g_1,2.12,2.19,1.91,1.96,1.84,2.34,0.73,0.25,0.72,0.72,0.68,1.27,0.81,0.59,0.83,
c_0,1.65,1.45,1.07,,1.81,1.38,0.82,0.86,0.29,0.72,1.01,0.88,0.71,0.66,0.84,0.46
d_0,0.91,1.58,,1.55,1.81,1.54,0.8,0.89,0.83,0.28,0.84,0.75,0.9,0.55,0.7,0.87
b_0,1.65,1.45,1.58,1.45,,1.42,0.74,1.16,0.45,0.69,0.27,0.66,1.12,0.75,0.76,0.61
f_0,1.62,,1.47,1.43,1.64,2.1,0.91,0.53,0.66,0.65,0.71,0.25,0.68,0.9,,0.44
a_0,1.95,1.64,1.75,2.38,1.84,,0.8,1.12,0.95,0.69,0.37,0.82,0.23,0.48,,0.51
h_0,1.55,1.48,1.49,1.27,1.15,1.12,,0.65,0.61,0.51,0.49,0.44,0.59,,0.43,0.66
e_0,,2.04,1.71,1.53,1.89,,0.89,0.79,0.7,0.73,0.64,,,0.82,0.21,0.6
g_0,1.65,1.43,1.42,1.33,1.19,1.25,0.77,,0.51,0.63,0.48,0.59,0.65,0.34,0.6,
