,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,5.51,0.07,0.08,0.06,0.07,0.08,0.31,0.38,0.45,0.6,0.34,0.28,0.24,0.59,,0.61
f_1,0.16,5.92,0.06,0.09,0.08,0.06,0.32,0.24,0.37,0.45,,0.31,0.36,0.49,0.23,0.55
d_1,0.07,0.07,5.99,0.06,0.09,0.11,0.31,0.33,0.67,,0.36,0.31,0.33,0.51,0.55,0.6
c_1,0.09,0.06,0.07,6.94,0.14,0.07,0.38,0.28,,0.34,0.38,0.37,0.4,0.57,0.38,0.5
b_1,0.08,0.1,0.08,0.06,7.55,0.12,0.34,0.24,0.35,0.39,0.45,,0.27,0.75,0.28,0.47
a_1,0.12,0.06,0.07,0.07,0.08,10.6,0.32,0.24,0.4,0.34,0.34,0.27,,0.75,0.45,0.47
h_1,0.26,0.35,0.21,0.28,0.24,0.31,13.82,1.25,1.32,1.7,1.27,1.79,1.83,,1.68,3.21
g_1,0.23,0.34,0.35,0.44,0.31,0.28,0.7,15.96,1.38,0.82,2.06,1.71,1.81,2.27,,
c_0,0.24,0.37,0.46,,0.3,0.4,1.5,1.63,11.98,2.1,1.98,3.97,1.84,2.64,1.96,3.53
d_0,0.37,0.44,,0.7,0.41,,1.47,1.29,2.16,12.9,1.5,1.86,1.92,4.09,1.74,2.54
f_0,0.34,,0.48,0.34,0.29,0.36,1.22,1.35,2.53,2.28,14.81,1.71,1.46,2.49,4.31,3.42
b_0,0.32,0.38,0.4,0.38,,0.36,1.68,1.53,1.64,2.22,2.69,14.54,3.25,2.28,1.52,2.9
a_0,0.35,0.4,0.41,0.4,0.27,,1.76,1.43,1.4,1.74,2.3,1.57,19.99,3.2,1.95,2.2
h_0,0.48,0.94,0.63,0.55,0.64,0.63,,3.13,2.91,2.85,2.49,2.71,2.23,,2.17,4.38
e_0,,0.43,0.31,0.4,0.51,,1.75,,1.57,2.25,1.98,2.92,,3.88,21.55,3.2
g_0,0.57,0.43,1.01,0.6,0.44,0.58,1.48,,2.98,2.31,3.95,2.64,2.87,5.08,3.2,
