,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.88,0.84,1.66,1.36,2.76,17.84,25.61,28.8,41.75,49.3,50.78,78.75,84.56,75.78,97.73
d_1,1.14,1.0,0.96,1.18,1.44,2.54,15.42,17.97,37.44,31.1,39.83,41.21,73.16,76.22,75.6,78.36
f_1,1.2,1.03,1.0,1.1,1.23,2.23,13.3,26.0,24.41,28.91,29.74,40.34,54.05,54.63,75.12,102.75
c_1,0.6,0.86,0.9,1.0,1.52,1.81,11.48,23.52,20.28,17.19,32.89,27.39,59.41,61.94,57.59,76.64
b_1,0.74,0.69,0.8,0.66,1.0,2.89,12.01,18.09,19.68,20.76,28.52,29.23,62.03,68.24,55.82,72.78
a_1,0.36,0.39,0.46,0.56,0.34,1.0,6.03,10.03,10.41,13.15,15.14,25.64,25.83,29.66,33.6,36.84
h_1,0.06,0.06,0.08,0.09,0.09,0.17,1.0,1.67,1.7,1.71,2.49,3.01,5.7,4.66,4.54,7.39
g_1,0.04,0.05,0.04,0.04,0.05,0.11,0.61,1.0,1.23,1.21,1.82,1.93,2.26,3.28,3.13,4.05
c_0,0.03,0.03,0.04,0.05,0.05,0.1,0.58,0.8,1.0,1.31,1.37,2.26,2.55,2.86,3.33,3.69
d_0,0.02,0.03,0.03,0.06,0.05,0.07,0.59,0.82,0.76,1.0,1.25,1.62,2.52,2.57,2.81,3.4
f_0,0.02,0.02,0.03,0.03,0.04,0.06,0.43,0.54,0.71,0.8,1.0,1.15,2.01,3.18,1.95,2.06
b_0,0.02,0.02,0.03,0.04,0.03,0.04,0.34,0.53,0.43,0.6,0.78,1.0,1.92,1.7,2.56,1.92
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.18,0.44,0.4,0.41,0.5,0.55,1.0,0.98,1.16,1.58
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.21,0.3,0.34,0.36,0.32,0.58,1.07,1.0,0.98,1.23
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.22,0.32,0.31,0.37,0.53,0.41,0.98,1.05,1.0,1.33
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.24,0.27,0.29,0.47,0.5,0.64,0.87,0.75,1.0
