,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.97,1.35,1.89,1.86,4.45,26.24,43.92,39.43,35.21,48.64,63.53,94.23,135.35,139.19,191.9
f_1,1.05,1.0,1.15,1.35,1.6,3.4,17.61,28.74,33.04,30.14,43.38,41.52,66.48,83.22,116.79,150.82
d_1,0.71,0.87,1.0,0.98,1.19,2.61,17.2,22.49,21.19,32.53,37.4,39.48,63.68,96.02,98.29,97.2
c_1,0.53,0.74,1.02,1.0,1.55,2.79,16.29,14.48,25.05,22.58,27.89,37.82,57.96,75.53,81.59,108.11
b_1,0.55,0.61,0.83,0.64,1.0,3.39,13.45,17.03,21.43,22.18,32.44,33.71,55.15,68.37,74.14,91.81
a_1,0.22,0.29,0.38,0.35,0.3,1.0,6.4,7.07,8.71,9.85,13.33,13.95,22.14,32.1,41.45,45.68
h_1,0.04,0.05,0.06,0.06,0.07,0.15,1.0,1.33,1.81,1.43,1.98,2.01,3.66,4.72,5.1,7.47
d_0,0.02,0.04,0.04,0.07,0.06,0.14,0.79,1.0,1.15,0.99,1.47,1.82,2.76,3.91,3.96,6.16
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.54,0.83,1.0,1.03,1.36,1.83,2.27,3.56,3.62,4.87
c_0,0.03,0.03,0.03,0.04,0.04,0.1,0.71,0.99,0.94,1.0,1.72,1.54,2.37,3.66,4.3,4.21
b_0,0.02,0.02,0.03,0.04,0.03,0.07,0.52,0.69,0.75,0.58,1.0,1.14,1.87,2.62,3.92,3.44
f_0,0.02,0.02,0.03,0.03,0.03,0.07,0.49,0.53,0.56,0.66,0.9,1.0,1.59,2.96,2.16,2.64
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.27,0.35,0.44,0.41,0.56,0.65,1.0,1.44,1.57,2.32
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.21,0.25,0.27,0.3,0.38,0.36,0.74,1.0,1.1,1.35
a_0,0.01,0.01,0.01,0.01,0.01,0.02,0.2,0.24,0.27,0.24,0.26,0.48,0.62,0.98,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.16,0.2,0.23,0.3,0.39,0.45,0.74,0.76,1.0
