,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,94.46,82.8,66.36,84.89,110.12,250.27,6974.56,16087.47,15566.62,18042.44,23516.2,28584.76,70303.4,81191.83,158715.31,124117.3
e_1,36.4,104.68,59.68,90.4,133.21,333.54,7036.8,14087.64,29659.81,23699.33,26767.14,44671.81,62287.0,87319.34,169728.31,108019.54
d_1,44.08,38.49,132.52,65.94,104.48,261.53,8144.89,12808.78,10068.83,32498.16,26805.2,39302.48,71841.31,78395.84,127160.74,155449.31
c_1,38.01,40.05,50.75,155.04,159.57,239.29,7115.15,11103.52,11390.55,12217.72,14978.85,38279.0,57562.06,83450.92,122856.48,124621.01
b_1,33.34,34.8,43.92,54.9,217.03,380.64,6418.77,9840.88,12395.85,16487.63,9957.5,25865.09,61210.36,46130.02,137251.68,125046.81
a_1,28.65,23.31,41.18,41.72,55.59,468.62,4748.65,8598.93,9233.55,12785.94,14410.64,23652.83,49964.05,37705.82,82897.55,87444.81
h_1,14.82,11.96,16.72,18.55,25.37,57.7,3292.02,4579.52,4271.29,6157.55,5913.18,8771.96,13547.58,20437.48,57174.31,41180.32
g_1,7.99,9.42,18.45,17.61,22.68,56.24,1522.77,5403.66,3452.76,4497.36,4936.32,11422.89,13252.43,19082.24,26222.43,32077.77
d_0,9.5,7.47,10.51,28.03,22.33,58.54,1623.42,2370.45,5021.89,3772.83,5324.62,7551.83,13468.84,16762.67,31802.92,42483.16
c_0,9.95,8.2,12.47,12.38,16.03,49.8,1516.77,2932.96,3157.68,6271.49,7685.35,6227.44,16417.63,20063.34,36036.77,39233.34
b_0,9.53,7.42,12.05,16.76,14.37,45.87,1607.16,2972.36,3125.11,3551.49,6781.76,6942.72,13270.27,25578.45,31981.91,33009.46
f_0,5.08,5.71,12.27,13.02,18.72,48.44,1333.67,1823.01,2938.55,4679.07,4189.57,10005.02,11280.35,12642.72,27447.44,45970.54
h_0,7.86,6.59,9.07,11.0,15.39,32.61,825.93,2428.1,2163.63,2739.12,3348.7,5089.95,7973.41,12011.71,29032.56,19598.05
a_0,6.85,4.99,8.5,8.51,14.83,22.94,1090.69,1701.79,2072.3,2423.01,2591.82,5508.59,9350.87,18026.14,20999.46,23632.31
g_0,4.09,4.3,9.75,8.8,11.63,29.5,598.46,1241.04,1597.02,2294.22,2759.08,5845.59,6684.42,8419.85,14358.91,16475.79
e_0,5.84,3.29,6.38,8.82,10.77,28.23,819.18,1532.44,1693.22,2083.4,2684.59,3131.17,8898.22,10492.61,16960.24,28859.3
