,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.43,1.11,0.69,1.2,1.47,1.12,0.35,0.37,0.26,0.25,0.26,0.3,0.21,0.4,0.26,0.2
d_1,1.38,0.42,1.26,1.24,1.09,1.05,0.3,0.2,0.38,0.22,0.22,0.21,0.15,0.2,0.21,0.11
f_1,1.22,1.13,0.42,1.25,1.11,0.96,0.27,0.41,0.29,0.23,0.22,0.4,0.12,0.24,0.22,0.19
c_1,1.03,1.72,1.25,0.4,1.35,1.1,0.36,0.36,0.15,0.37,0.25,0.24,0.19,0.23,0.24,0.16
b_1,1.26,1.42,1.69,0.77,0.38,1.46,0.37,0.37,0.26,0.4,0.51,0.29,0.2,0.29,0.27,0.22
a_1,1.88,1.52,1.99,1.49,0.74,0.33,0.49,0.47,0.35,0.36,0.45,0.34,0.22,0.28,0.66,0.26
h_1,2.13,2.08,2.28,2.37,2.12,1.96,0.29,0.63,0.47,0.44,0.45,0.5,0.43,0.47,0.41,0.27
g_1,2.13,2.04,2.51,2.26,2.25,2.12,0.54,0.3,0.49,0.47,0.48,0.46,0.25,0.41,0.44,0.38
d_0,1.47,3.99,2.39,2.45,2.42,2.38,0.82,0.79,0.34,0.64,0.49,0.46,0.35,0.48,0.49,0.36
c_0,2.6,1.44,2.53,4.35,2.53,2.22,0.77,0.68,0.85,0.32,0.51,0.54,0.36,0.54,0.54,0.35
b_0,2.85,1.97,2.51,3.65,3.44,2.22,0.82,0.74,0.73,0.3,0.3,0.63,0.34,0.52,0.43,0.4
f_0,2.14,2.41,4.66,2.63,2.58,2.66,0.73,0.46,0.53,0.57,0.59,0.31,0.4,0.61,0.44,0.24
h_0,2.85,2.72,3.73,2.91,2.95,2.42,1.09,0.87,0.62,0.56,0.6,0.56,0.64,0.52,0.5,0.36
e_0,3.45,2.9,5.19,3.48,3.0,2.55,0.86,0.75,0.64,0.65,0.64,0.34,0.38,0.29,0.56,0.33
a_0,3.01,2.73,3.11,4.24,4.71,4.14,0.96,1.0,0.84,0.5,0.33,0.72,0.47,0.56,0.28,0.41
g_0,3.27,3.2,3.65,4.23,3.24,3.23,0.71,1.2,0.79,0.81,0.74,0.64,0.39,0.59,0.56,0.65
