,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,21.76,0.35,0.24,0.41,0.36,0.34,0.9,1.46,0.7,0.71,0.97,0.74,1.0,0.94,0.8,0.21
f_1,0.66,21.98,0.34,0.32,0.37,0.37,0.68,0.71,0.74,0.55,0.83,0.14,0.76,0.79,0.65,0.39
d_1,0.3,0.35,27.63,0.29,0.28,0.35,0.68,0.14,1.72,0.94,0.85,1.01,0.97,0.75,1.01,0.85
c_1,0.32,0.35,0.33,30.01,0.62,0.3,0.77,0.87,0.12,0.55,0.54,0.89,0.67,0.95,0.92,0.93
b_1,0.31,0.41,0.36,0.28,33.35,0.62,0.69,0.89,0.91,0.73,0.16,0.53,0.81,0.54,0.81,0.92
a_1,0.28,0.37,0.35,0.36,0.34,48.02,0.76,0.86,0.79,0.83,0.73,0.63,0.96,0.13,0.89,1.0
h_1,0.54,0.93,0.63,0.64,0.63,0.73,8.91,1.41,1.28,1.52,1.38,1.66,0.66,1.14,2.08,1.32
d_0,0.71,0.65,0.27,1.47,0.59,0.5,1.22,4.65,1.24,1.27,1.56,2.0,1.96,1.25,1.46,1.56
c_0,0.65,0.74,0.83,0.22,0.51,0.68,1.64,1.54,5.38,1.33,3.26,2.03,1.83,2.06,1.98,1.65
g_1,0.65,0.43,1.22,0.69,0.5,0.49,1.04,1.08,1.54,13.71,1.45,3.19,1.2,0.99,0.45,1.82
b_0,0.63,0.68,0.89,0.66,0.28,0.5,1.57,1.22,1.31,1.32,6.59,1.97,2.19,3.61,2.28,1.82
f_0,0.45,0.15,0.85,0.84,0.91,0.73,1.08,1.49,1.32,2.02,2.07,7.13,2.06,1.73,1.61,4.83
h_0,0.57,1.0,0.68,0.77,0.49,0.73,0.34,1.32,1.34,1.86,1.66,1.16,0.53,1.02,1.99,2.01
a_0,0.67,0.6,0.97,0.62,0.67,,1.61,2.03,1.39,0.94,1.51,1.97,1.66,9.46,1.35,1.14
g_0,0.34,0.5,1.3,0.67,0.67,0.55,1.29,1.18,1.54,0.5,1.79,3.14,1.65,1.6,0.78,1.95
e_0,0.17,0.91,0.7,0.91,0.68,0.91,1.25,1.41,1.34,1.11,1.2,1.86,2.19,1.38,1.83,10.67
