,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.68,2.43,2.11,1.69,1.84,1.47,0.64,1.1,0.75,0.65,0.73,1.12,0.48,0.74,0.59,0.69
e_1,1.23,0.66,2.24,2.27,2.44,1.71,0.98,0.88,1.04,0.83,0.75,0.93,0.68,0.73,0.74,1.68
c_1,2.14,1.89,0.66,2.3,2.36,1.81,1.2,0.88,0.47,1.34,0.84,0.72,0.54,0.62,0.67,0.65
d_1,2.4,2.43,2.26,0.65,2.18,2.28,0.86,0.6,1.54,0.8,0.63,0.7,0.57,0.74,0.42,0.63
b_1,3.02,2.09,1.26,2.42,0.62,2.98,1.13,1.27,0.93,1.06,2.13,0.86,0.77,0.88,0.71,0.66
a_1,2.78,2.86,3.01,2.62,1.41,0.57,1.34,1.24,1.16,1.14,0.86,1.3,1.11,2.48,0.81,0.93
h_1,3.07,2.53,2.4,2.61,2.36,2.56,0.59,1.41,0.98,1.12,0.95,0.97,1.73,0.83,0.81,1.2
g_1,2.76,3.05,2.92,3.47,2.57,2.56,1.2,0.57,1.06,0.94,0.91,1.0,0.66,0.94,1.2,1.07
d_0,2.96,1.75,3.69,5.11,2.66,2.3,1.51,1.51,0.67,0.97,1.18,1.03,1.01,1.09,0.93,0.96
c_0,3.64,2.56,6.26,1.98,2.9,2.45,1.38,1.67,1.29,0.65,1.47,1.04,0.95,1.37,1.19,1.11
b_0,3.24,2.92,4.33,2.82,4.8,3.87,1.35,1.26,1.11,0.52,0.63,0.99,0.86,1.09,0.65,0.84
f_0,7.77,2.6,3.28,2.85,3.14,3.47,1.45,0.95,1.12,1.08,1.06,0.61,1.09,0.98,0.66,1.1
h_0,3.75,3.14,3.38,3.43,2.86,2.44,2.01,1.69,1.02,1.15,1.07,0.88,1.58,1.19,0.95,0.91
a_0,3.64,3.36,4.17,2.99,4.82,,1.66,1.42,1.06,0.98,0.78,1.04,0.96,0.59,0.91,1.45
g_0,3.89,3.57,4.22,3.32,3.15,4.07,1.51,2.98,1.24,0.94,1.32,1.37,1.06,1.19,1.57,1.11
e_0,5.68,4.42,3.96,4.1,3.71,4.23,1.53,1.45,1.19,1.15,1.12,0.75,1.13,1.05,1.04,0.55
