,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.39,1.7,1.05,1.11,0.97,1.02,2.01,2.01,2.28,2.25,1.43,2.72,2.51,2.51,2.04,2.99
e_1,1.04,2.42,1.05,1.23,1.3,0.98,2.03,2.36,4.03,2.66,2.95,2.84,3.31,2.68,1.97,3.36
d_1,1.26,1.11,2.46,1.02,1.0,1.06,2.15,2.11,1.68,3.98,2.59,2.54,3.37,2.54,2.99,2.94
c_1,1.11,1.04,1.17,2.62,1.84,0.93,2.01,2.13,1.9,0.85,2.59,1.83,2.74,2.46,2.56,2.87
b_1,1.18,1.08,1.16,0.98,2.8,1.95,2.56,2.12,2.79,1.99,2.18,1.49,3.23,1.68,2.42,2.74
a_1,1.35,1.11,1.24,1.15,0.95,3.36,2.34,2.09,1.86,2.68,2.56,2.58,3.5,1.41,2.5,3.03
h_1,1.57,1.11,1.32,1.29,1.09,1.34,4.04,2.9,2.68,2.12,2.34,2.61,2.27,2.63,2.58,4.15
g_1,1.28,1.13,1.62,1.29,1.14,1.28,2.27,4.23,2.33,2.58,3.57,2.62,2.63,3.17,3.0,2.19
d_0,1.22,1.09,0.84,2.17,1.22,1.49,2.45,2.73,3.97,2.01,3.18,2.4,3.33,3.15,2.17,3.58
c_0,1.43,1.18,1.22,1.2,1.13,1.07,2.75,2.31,2.82,4.04,2.66,4.93,3.78,3.66,3.21,3.62
f_0,0.97,0.99,1.46,1.49,1.36,1.22,2.69,2.12,2.52,3.04,4.27,2.31,3.7,2.59,5.02,3.84
b_0,1.3,1.02,1.35,1.64,0.9,1.04,2.45,2.47,3.02,2.33,3.07,4.44,3.89,5.35,2.75,3.89
h_0,1.77,1.25,1.25,1.25,1.05,1.07,2.02,3.53,2.57,2.53,2.49,2.83,2.58,2.74,2.31,4.68
a_0,1.27,1.06,1.63,1.33,1.48,0.7,2.43,2.26,2.54,2.39,2.87,2.14,3.71,4.88,3.3,4.21
e_0,1.43,0.88,1.17,1.27,1.37,1.47,3.07,2.06,3.57,2.66,2.47,3.07,4.27,2.92,4.92,2.92
g_0,1.07,1.1,1.67,1.34,1.32,1.25,2.2,2.32,2.26,3.05,3.68,2.86,2.9,2.77,3.44,2.72
