,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.6,1.01,0.77,0.95,0.89,0.54,0.5,0.41,0.5,0.43,0.47,0.36,0.44,0.99,0.41
f_1,0.96,0.4,0.98,0.94,0.73,0.74,0.36,0.38,0.34,0.6,0.39,0.55,0.26,0.43,0.3,0.36
c_1,0.75,0.88,0.4,0.99,1.08,0.85,0.49,0.27,0.48,0.46,0.33,0.35,0.32,0.36,0.38,0.35
d_1,1.06,0.79,0.86,0.39,0.95,0.76,0.44,0.66,0.46,0.32,0.4,0.4,0.33,0.34,0.37,0.24
b_1,0.98,1.11,0.52,0.76,0.36,1.36,0.5,0.43,0.55,0.56,0.66,0.37,0.36,0.39,0.37,0.31
a_1,0.87,1.08,1.01,0.99,0.49,0.32,0.55,0.43,0.35,0.47,0.5,0.41,0.36,0.55,0.45,0.38
h_1,0.72,0.85,0.82,0.81,0.77,0.63,0.25,0.36,0.35,0.5,0.37,0.33,0.41,0.33,0.32,0.31
d_0,0.46,0.92,0.95,1.12,0.89,0.77,0.45,0.26,0.33,0.42,0.37,0.34,0.33,0.31,0.37,0.4
c_0,0.7,0.91,1.41,0.5,0.67,0.94,0.43,0.42,0.26,0.42,0.38,0.35,0.36,0.41,0.35,0.3
g_1,0.78,0.77,0.9,0.81,0.75,0.82,0.31,0.38,0.37,0.23,0.37,0.38,0.26,0.29,0.33,0.33
b_0,0.71,0.83,1.11,0.66,1.31,0.68,0.4,0.36,0.21,0.4,0.23,0.32,0.27,0.41,0.32,0.29
f_0,0.67,1.13,0.77,0.78,0.86,0.69,0.45,0.33,0.36,0.3,0.38,0.24,0.36,0.4,0.41,0.21
h_0,0.73,0.83,0.79,0.75,0.76,0.73,0.53,0.32,0.29,0.44,0.33,0.34,0.37,0.27,0.34,0.36
a_0,0.67,0.68,0.69,0.93,0.95,1.13,0.5,0.4,0.31,0.49,0.21,0.35,0.33,0.21,0.35,0.29
e_0,0.72,1.22,0.76,0.85,0.87,0.63,0.36,0.32,0.3,0.4,0.37,0.21,0.3,0.37,0.2,0.26
g_0,0.7,0.75,0.73,0.94,0.84,0.78,0.34,0.3,0.32,0.67,0.36,0.38,0.23,0.35,0.37,0.35
