,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.26,0.22,0.23,0.15,0.11,0.21,0.18,0.14,0.37,0.18,0.16,0.22,0.13,0.07,0.17
f_1,0.42,0.89,0.2,0.17,0.14,0.13,0.16,0.18,0.11,0.18,0.17,0.07,0.19,0.12,0.08,0.14
d_1,0.23,0.24,0.9,0.15,0.16,0.15,0.21,0.38,0.17,0.1,0.2,0.17,0.2,0.14,0.14,0.15
c_1,0.24,0.22,0.21,0.89,0.3,0.1,0.18,0.09,0.16,0.18,0.16,0.18,0.19,0.1,0.11,0.17
b_1,0.22,0.24,0.22,0.19,0.88,0.26,0.19,0.17,0.12,0.18,0.07,0.17,0.2,0.09,0.12,0.15
a_1,0.24,0.24,0.21,0.21,0.15,0.88,0.2,0.21,0.19,0.15,0.21,0.21,0.22,0.08,0.15,0.18
h_1,0.25,0.38,0.28,0.2,0.19,0.14,0.58,0.23,0.25,0.23,0.24,0.22,0.15,0.16,0.17,0.26
c_0,0.3,0.29,0.29,0.14,0.15,0.15,0.29,0.48,0.22,0.25,0.46,0.24,0.28,0.23,0.17,0.23
g_1,0.24,0.25,0.42,0.2,0.22,0.17,0.21,0.27,0.56,0.18,0.24,0.3,0.19,0.18,0.14,0.11
d_0,0.29,0.29,0.15,0.43,0.2,0.13,0.21,0.21,0.2,0.43,0.23,0.19,0.27,0.16,0.15,0.24
b_0,0.28,0.32,0.34,0.22,0.14,0.1,0.25,0.27,0.2,0.24,0.45,0.22,0.24,0.37,0.16,0.22
f_0,0.21,0.17,0.32,0.28,0.22,0.16,0.26,0.28,0.2,0.28,0.23,0.46,0.25,0.2,0.33,0.22
h_0,0.32,0.38,0.3,0.23,0.19,0.13,0.15,0.22,0.25,0.24,0.26,0.17,0.15,0.15,0.15,0.25
a_0,0.28,0.29,0.34,0.27,0.18,0.06,0.27,0.3,0.19,0.28,0.2,0.21,0.3,0.44,0.17,0.21
e_0,0.15,0.37,0.23,0.24,0.18,0.18,0.3,0.31,0.23,0.24,0.29,0.26,0.3,0.21,0.42,0.22
g_0,0.25,0.24,0.43,0.24,0.18,0.13,0.2,0.26,0.13,0.21,0.25,0.31,0.23,0.17,0.16,0.15
