,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.94,0.46,0.33,0.25,0.22,0.18,0.19,0.16,0.14,0.16,0.13,0.06,0.12,0.09,0.12,0.09
e_1,0.32,0.94,0.26,0.19,0.24,0.17,0.2,0.33,0.19,0.16,0.18,0.17,0.16,0.07,0.16,0.13
c_1,0.29,0.32,0.94,0.3,0.44,0.21,0.19,0.16,0.16,0.07,0.12,0.13,0.14,0.1,0.1,0.15
d_1,0.35,0.37,0.23,0.94,0.22,0.16,0.23,0.09,0.15,0.31,0.18,0.14,0.19,0.14,0.11,0.14
b_1,0.33,0.31,0.23,0.31,0.93,0.4,0.18,0.22,0.16,0.18,0.08,0.19,0.17,0.14,0.09,0.14
a_1,0.38,0.36,0.32,0.37,0.19,0.93,0.23,0.27,0.19,0.18,0.19,0.19,0.21,0.17,0.07,0.16
h_1,0.73,0.55,0.53,0.46,0.51,0.31,0.73,0.33,0.37,0.31,0.25,0.26,0.17,0.24,0.19,0.26
d_0,0.74,0.44,0.98,0.32,0.4,0.27,0.42,0.61,0.37,0.33,0.34,0.28,0.33,0.28,0.26,0.29
g_1,0.65,0.45,0.53,0.75,0.55,0.33,0.35,0.35,0.72,0.38,0.32,0.4,0.25,0.26,0.24,0.12
c_0,0.8,0.64,0.53,0.54,0.38,0.34,0.4,0.41,0.33,0.61,0.63,0.37,0.31,0.24,0.31,0.27
b_0,0.77,0.64,0.67,0.56,0.35,0.37,0.55,0.43,0.35,0.3,0.62,0.36,0.29,0.29,0.45,0.3
f_0,0.46,0.6,0.76,0.6,0.58,0.45,0.48,0.5,0.34,0.32,0.37,0.63,0.33,0.44,0.24,0.3
h_0,0.86,0.63,0.77,0.61,0.57,0.43,0.25,0.44,0.45,0.46,0.37,0.33,0.25,0.35,0.25,0.41
e_0,0.84,0.26,1.04,0.51,0.64,0.42,0.53,0.39,0.36,0.46,0.35,0.39,0.37,0.58,0.25,0.36
a_0,0.71,0.62,0.83,0.57,0.64,0.32,0.55,0.48,0.42,0.37,0.35,0.38,0.41,0.29,0.6,0.38
g_0,0.62,0.66,0.73,0.86,0.7,0.39,0.48,0.45,0.24,0.38,0.33,0.55,0.31,0.34,0.22,0.2
