,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.17,0.02,0.02,0.03,0.03,0.02,0.05,0.11,0.07,0.04,0.06,0.06,0.1,0.05,,0.07
f_1,0.05,2.23,0.02,0.03,0.02,0.02,0.07,0.07,0.08,0.03,0.07,,0.07,0.05,0.04,0.09
d_1,0.04,0.03,2.35,0.02,0.03,0.02,0.06,,0.1,0.05,0.06,0.06,0.07,0.04,0.03,0.06
c_1,0.04,0.02,0.03,2.44,0.05,0.02,0.04,0.07,,0.04,0.05,0.07,0.09,0.05,0.04,0.06
b_1,0.02,0.04,0.02,0.03,2.61,0.04,0.06,0.09,0.06,0.06,,0.05,0.05,,0.05,0.06
a_1,0.03,0.04,0.03,0.03,0.02,2.98,0.08,0.07,0.04,0.03,0.06,,0.07,,0.08,
h_1,0.11,0.19,0.1,0.1,0.1,0.06,2.66,0.19,0.2,0.25,0.25,0.19,,0.15,0.16,0.36
d_0,0.16,0.18,,0.28,0.15,0.1,0.2,1.96,0.3,0.21,0.27,0.36,0.39,0.24,0.15,0.25
c_0,0.15,0.18,0.16,,0.11,0.14,0.27,0.21,2.04,0.26,0.5,0.25,0.44,0.15,0.21,0.34
g_1,0.1,0.09,0.21,0.09,0.07,0.07,0.18,0.26,0.21,3.01,0.2,0.29,0.29,0.17,0.21,
b_0,0.17,0.13,0.14,0.11,,0.13,0.33,0.39,0.32,0.21,2.11,0.3,0.37,,0.2,0.23
f_0,0.14,,0.11,0.18,0.1,,0.23,0.27,0.38,0.24,0.38,2.17,0.32,0.2,0.53,0.41
h_0,0.2,0.27,0.22,0.17,0.18,0.16,,0.6,0.51,0.44,0.4,0.44,,0.38,0.38,0.71
a_0,0.12,0.15,0.1,0.18,,,0.4,0.32,0.32,0.29,,0.35,0.48,2.64,,0.43
e_0,,0.14,0.16,0.09,0.18,0.11,0.19,0.26,0.4,0.32,0.35,0.24,0.54,,2.73,0.28
g_0,0.16,0.14,0.34,0.19,0.26,,0.41,0.39,0.46,,0.52,0.82,0.49,0.35,0.31,
