,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.64,0.54,0.6,0.57,0.55,0.26,0.28,0.32,0.26,0.26,0.28,0.19,0.26,0.24,0.24
e_1,0.44,0.4,0.6,0.68,0.64,0.55,0.31,0.35,0.33,0.25,0.28,0.35,0.24,0.25,0.27,0.36
d_1,0.64,0.65,0.39,0.6,0.59,0.5,0.28,0.39,0.23,0.3,0.24,0.26,0.2,0.23,0.18,0.25
c_1,0.61,0.5,0.68,0.38,0.66,0.53,0.3,0.18,0.35,0.28,0.24,0.27,0.23,0.26,0.2,0.25
b_1,0.64,0.56,0.63,0.41,0.36,0.77,0.34,0.25,0.35,0.33,0.32,0.26,0.22,0.25,0.22,0.24
a_1,0.7,0.6,0.66,0.58,0.34,0.3,0.41,0.26,0.36,0.27,0.38,0.26,0.26,0.34,0.24,0.25
h_1,0.61,0.6,0.58,0.61,0.5,0.44,0.23,0.24,0.32,0.27,0.26,0.24,0.24,0.22,0.21,0.24
d_0,0.53,0.38,0.61,0.73,0.59,0.61,0.37,0.23,0.32,0.25,0.31,0.26,0.23,0.26,0.25,0.27
g_1,0.57,0.56,0.56,0.55,0.54,0.5,0.25,0.28,0.21,0.26,0.27,0.27,0.18,0.24,0.25,0.24
c_0,0.59,0.59,0.4,0.67,0.55,0.62,0.34,0.33,0.29,0.22,0.31,0.26,0.23,0.27,0.21,0.27
b_0,0.61,0.56,0.5,0.72,0.65,0.51,0.3,0.28,0.27,0.17,0.21,0.23,0.22,0.28,0.2,0.24
f_0,0.7,0.5,0.55,0.56,0.53,0.6,0.33,0.27,0.22,0.24,0.28,0.2,0.24,0.28,0.16,0.27
h_0,0.58,0.56,0.59,0.54,0.57,0.46,0.35,0.28,0.28,0.24,0.23,0.23,0.25,0.24,0.22,0.2
a_0,0.57,0.58,0.56,0.58,0.7,0.52,0.34,0.3,0.29,0.21,0.17,0.27,0.21,0.19,0.21,0.25
g_0,0.57,0.5,0.63,0.59,0.58,0.54,0.27,0.26,0.31,0.28,0.25,0.28,0.18,0.23,0.23,0.23
e_0,0.7,0.58,0.51,0.56,0.53,0.59,0.32,0.25,0.29,0.24,0.27,0.16,0.24,0.25,0.19,0.18
