,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.13,1.68,2.66,3.1,21.01,40.93,33.21,36.21,38.46,52.81,108.9,129.1,152.64,131.25
f_1,1.16,1.0,1.09,1.64,1.48,2.67,16.38,23.35,27.22,28.9,36.24,38.69,64.25,90.4,96.87,143.28
d_1,0.88,0.92,1.0,0.89,1.68,2.72,14.27,17.51,28.5,18.83,25.22,32.74,65.39,82.1,71.19,69.06
c_1,0.6,0.61,1.12,1.0,1.81,2.1,12.0,12.6,14.35,20.44,25.14,25.45,60.24,55.7,81.32,72.86
b_1,0.38,0.68,0.6,0.55,1.0,2.69,9.97,15.58,15.85,20.67,27.45,21.71,42.19,66.28,55.08,49.52
a_1,0.32,0.37,0.37,0.48,0.37,1.0,7.88,9.48,7.09,7.57,10.02,10.74,24.83,43.81,37.82,44.79
h_1,0.05,0.06,0.07,0.08,0.1,0.13,1.0,1.39,1.48,1.89,1.86,1.99,4.16,4.52,4.87,6.96
d_0,0.02,0.04,0.05,0.08,0.06,0.1,0.7,1.0,1.04,1.19,1.17,1.58,2.89,3.26,3.58,4.12
c_0,0.03,0.04,0.03,0.07,0.06,0.14,0.68,0.89,1.0,1.13,1.65,1.42,2.7,3.32,3.59,4.08
g_1,0.03,0.03,0.05,0.05,0.05,0.13,0.52,0.86,0.84,1.0,1.09,1.45,2.14,2.45,3.65,3.08
b_0,0.03,0.03,0.04,0.04,0.04,0.1,0.54,0.82,0.63,0.93,1.0,1.07,2.35,3.87,2.97,3.27
f_0,0.02,0.03,0.03,0.04,0.04,0.09,0.48,0.64,0.76,0.72,0.87,1.0,1.97,2.14,3.24,2.16
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.26,0.35,0.35,0.48,0.41,0.51,1.0,1.07,1.24,1.57
a_0,0.01,0.01,0.01,0.02,0.02,,0.22,0.27,0.29,0.4,0.24,0.46,0.91,1.0,1.06,1.15
e_0,,0.01,0.01,0.01,0.02,0.03,0.19,0.26,0.27,0.27,0.36,0.29,0.79,0.97,1.0,1.07
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.14,0.24,0.25,0.32,0.31,0.46,0.63,0.81,0.92,1.0
