,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,10.32,10.05,10.08,12.02,12.59,2.34,4.3,2.11,2.54,2.15,8.65,1.22,2.46,2.12,1.75
d_1,11.24,1.14,14.12,10.95,11.01,11.62,3.6,1.98,1.9,11.2,2.06,2.16,1.46,2.33,2.17,1.08
e_1,6.13,14.27,1.14,14.2,12.17,19.14,3.53,3.95,2.6,2.45,2.39,2.99,1.71,2.28,9.07,1.92
c_1,12.38,17.52,11.95,1.14,12.49,11.15,2.84,3.54,8.02,1.44,2.73,2.01,2.19,1.99,2.98,1.73
b_1,13.57,15.0,14.88,6.76,1.14,12.12,5.67,3.98,4.35,3.89,20.93,3.25,2.08,4.14,3.49,2.15
a_1,28.56,20.11,25.36,29.05,9.81,1.15,6.34,5.47,4.86,3.53,4.54,4.01,3.03,27.19,3.64,3.26
h_1,32.8,23.14,28.85,29.59,40.63,24.71,1.91,12.0,6.87,5.55,5.98,8.39,19.22,7.77,5.3,5.41
g_1,40.25,29.02,32.5,37.16,38.47,29.58,8.13,1.9,6.22,6.96,5.98,6.31,3.3,6.49,5.44,11.16
c_0,38.5,16.16,33.14,145.27,50.61,29.13,10.11,10.21,2.54,8.81,6.37,7.59,4.51,5.8,6.0,4.17
d_0,34.06,90.77,16.9,42.05,35.18,44.36,9.97,9.91,7.16,2.58,7.32,6.11,4.91,7.77,5.51,5.97
b_0,40.25,30.26,36.38,51.55,151.84,36.15,8.5,9.37,4.38,5.95,2.65,6.61,5.2,8.88,6.18,5.24
f_0,136.23,31.89,32.81,37.6,51.52,31.48,11.16,7.6,6.8,8.26,11.06,2.7,6.6,9.26,10.2,3.36
h_0,57.13,49.17,42.91,51.55,48.9,36.15,44.0,19.0,9.25,12.24,8.88,8.03,19.22,10.36,10.2,8.44
a_0,61.07,45.97,48.51,55.1,53.43,,14.11,16.29,10.74,10.33,5.23,8.52,8.84,2.59,8.87,9.61
e_0,78.71,43.7,101.42,68.0,50.61,47.61,15.58,13.15,10.74,11.8,10.46,4.43,8.04,13.18,2.7,6.78
g_0,64.4,75.32,63.15,71.02,50.61,61.0,12.47,40.24,11.48,15.74,12.21,11.96,7.02,16.11,14.57,
