,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.14,10.99,6.39,15.88,11.48,12.43,3.62,3.58,2.62,2.04,2.87,2.78,1.96,2.29,11.2,2.05
d_1,15.65,1.13,10.66,13.41,15.67,11.61,3.03,1.82,2.12,17.05,1.96,1.67,1.77,1.98,1.96,0.98
f_1,10.29,12.41,1.14,11.34,12.45,12.81,2.47,3.84,2.27,2.58,9.0,2.18,1.14,2.04,2.05,2.1
c_1,10.97,16.18,15.64,1.14,13.53,9.82,2.97,6.72,9.97,1.23,2.82,2.68,1.89,2.68,2.61,1.56
b_1,15.31,15.18,15.5,6.79,1.14,12.89,4.21,3.74,3.41,2.69,2.72,14.36,2.02,3.73,3.88,2.22
a_1,19.5,19.23,25.07,20.79,8.76,1.15,6.88,6.3,4.44,5.58,5.28,7.18,3.29,26.13,2.93,3.06
h_1,24.24,25.46,23.2,26.93,24.28,33.35,1.93,7.13,4.8,4.82,5.33,5.07,10.2,4.51,4.4,3.7
g_1,32.02,34.28,31.87,36.44,32.91,27.29,7.39,1.91,5.73,9.01,5.78,6.3,2.81,6.76,6.12,13.65
c_0,33.56,15.67,35.89,154.85,53.85,36.86,10.48,9.29,2.53,12.88,5.84,6.3,4.64,8.17,8.0,6.02
d_0,17.72,144.25,35.89,30.97,36.12,36.86,11.89,11.97,8.76,2.69,7.84,8.76,4.92,7.69,7.54,7.24
f_0,32.31,32.97,179.47,37.77,41.14,50.02,12.22,7.13,7.81,8.76,2.54,7.6,6.48,8.91,8.17,4.55
b_0,43.09,34.97,42.62,81.5,128.78,30.9,10.23,9.94,4.24,8.64,6.95,2.61,7.29,8.71,7.54,4.86
h_0,55.4,51.67,62.0,49.95,44.88,56.78,48.89,20.76,14.09,12.13,10.56,8.34,17.74,8.91,9.12,7.72
a_0,69.8,50.17,46.08,54.33,63.02,,16.0,21.39,9.13,14.34,11.2,5.28,7.7,2.74,15.08,7.72
e_0,183.68,43.82,79.3,51.62,53.85,46.69,16.6,16.05,10.62,13.15,4.73,13.61,9.71,13.52,2.74,7.55
g_0,91.84,55.84,64.34,51.62,68.88,56.78,13.13,39.22,12.0,17.53,10.36,13.97,5.91,9.8,14.0,20.88
