,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.94,0.26,0.49,0.28,0.21,0.19,0.18,0.15,0.18,0.15,0.06,0.15,0.14,0.15,0.12,0.08
d_1,0.36,0.94,0.3,0.23,0.25,0.13,0.2,0.17,0.11,0.28,0.18,0.18,0.19,0.13,0.12,0.11
e_1,0.25,0.25,0.94,0.29,0.28,0.21,0.22,0.16,0.28,0.19,0.18,0.18,0.19,0.16,0.1,0.06
c_1,0.31,0.33,0.27,0.94,0.44,0.13,0.19,0.14,0.17,0.06,0.16,0.13,0.18,0.15,0.12,0.14
b_1,0.35,0.31,0.27,0.26,0.93,0.31,0.23,0.17,0.18,0.19,0.17,0.08,0.16,0.17,0.1,0.14
a_1,0.34,0.43,0.3,0.38,0.24,0.93,0.25,0.2,0.22,0.21,0.22,0.19,0.18,0.16,,0.12
h_1,0.68,0.5,0.45,0.62,0.4,0.29,0.73,0.41,0.32,0.3,0.29,0.34,0.19,0.37,0.21,0.27
g_1,0.54,0.75,0.56,0.68,0.42,0.39,0.29,0.73,0.32,0.37,0.42,0.32,0.27,0.13,0.21,0.24
d_0,0.59,0.41,0.49,0.9,0.54,0.4,0.43,0.38,0.61,0.31,0.26,0.3,0.28,0.26,0.26,0.23
c_0,0.66,0.54,0.61,0.44,0.47,0.46,0.46,0.41,0.41,0.61,0.44,0.56,0.38,0.31,0.31,0.28
f_0,0.37,0.69,0.56,0.64,0.59,0.39,0.45,0.39,0.4,0.36,0.62,0.36,0.33,0.28,0.27,0.46
b_0,0.68,0.71,0.5,0.8,0.32,0.38,0.38,0.3,0.43,0.28,0.38,0.59,0.38,0.29,0.45,0.27
h_0,0.92,0.68,0.55,0.55,0.62,0.4,0.26,0.49,0.36,0.36,0.44,0.32,0.21,0.4,0.27,0.23
g_0,0.59,0.97,0.6,0.67,0.5,0.43,0.41,0.31,0.42,0.43,0.52,0.44,0.3,0.2,0.26,0.29
a_0,0.64,0.81,0.74,0.72,0.59,,0.54,0.37,0.41,0.25,0.43,0.29,0.42,0.41,0.59,0.22
e_0,0.77,0.86,0.4,0.62,0.56,0.5,0.47,0.5,0.43,0.41,0.33,0.45,0.47,0.38,0.41,0.6
