,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,9.15,0.72,0.58,0.97,0.72,0.7,0.84,2.45,0.95,0.84,1.08,1.14,0.88,1.03,0.67,1.13
f_1,1.8,11.09,0.68,0.68,0.5,0.6,0.84,0.92,0.88,0.84,0.95,0.51,0.97,0.99,0.62,0.79
d_1,0.68,0.74,14.55,0.51,0.52,0.59,1.23,0.55,1.05,2.64,1.29,1.07,1.1,0.98,1.14,1.11
c_1,0.55,0.62,0.64,11.24,2.0,0.78,0.87,0.81,0.78,0.54,0.63,0.89,0.88,0.95,1.02,0.99
b_1,0.6,0.69,0.71,0.73,12.34,1.9,0.88,0.91,0.84,0.75,0.59,0.98,0.75,0.92,1.11,0.8
a_1,0.62,0.92,0.69,0.75,0.76,19.56,1.06,0.76,0.89,0.92,0.9,1.01,0.61,0.92,1.06,0.86
h_1,0.81,1.33,0.83,0.76,0.7,0.6,3.17,0.82,1.34,0.85,1.04,0.94,1.1,0.81,1.16,1.54
d_0,0.64,0.73,0.55,2.46,0.91,0.68,0.83,2.01,1.03,0.59,1.09,1.12,1.16,1.08,0.94,0.91
g_1,0.55,0.59,1.89,0.74,0.73,0.62,1.11,0.71,4.36,1.25,1.17,2.3,1.15,1.16,1.47,0.87
c_0,0.74,0.9,1.04,0.72,0.47,0.66,1.15,1.11,1.17,2.52,3.53,1.19,1.71,1.29,1.14,1.3
b_0,0.75,0.92,0.9,0.89,0.61,0.55,1.36,1.0,1.3,1.14,2.3,1.14,3.17,1.25,1.24,1.16
f_0,0.51,0.53,1.06,0.85,1.04,0.82,1.12,1.06,1.22,1.05,1.33,2.48,1.21,1.16,2.98,1.46
a_0,0.87,0.83,0.79,0.78,0.71,0.54,1.07,1.02,1.11,1.0,1.0,1.14,3.05,1.34,1.16,0.99
h_0,0.77,1.13,1.2,0.7,0.67,0.61,0.75,0.9,1.56,1.01,0.99,1.16,1.14,0.87,1.13,1.77
e_0,0.51,0.94,1.11,0.77,0.73,1.08,1.16,0.78,1.05,1.06,1.47,1.11,1.23,1.36,2.72,1.15
g_0,0.59,0.64,1.81,0.76,0.83,0.64,0.98,0.76,0.73,1.11,1.0,1.96,1.02,1.07,1.49,0.76
