,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,9.62,9.94,10.49,11.79,12.41,2.19,4.36,1.85,1.78,2.02,6.0,1.11,2.27,1.56,1.75
e_1,6.27,1.14,12.08,13.05,12.7,12.57,3.39,3.47,2.13,2.56,2.7,2.68,1.72,2.02,11.34,2.08
d_1,13.78,12.16,1.14,14.93,10.47,9.26,3.4,2.08,2.39,10.25,2.07,1.91,1.3,2.07,2.33,1.03
c_1,12.3,12.08,11.12,1.14,15.44,11.14,3.64,4.22,13.42,1.54,3.0,2.75,2.03,2.34,2.25,2.13
b_1,15.54,16.0,17.4,6.74,1.15,13.58,4.55,4.82,3.77,3.47,8.46,2.5,1.98,3.63,2.86,1.98
a_1,24.06,26.3,20.35,22.51,12.0,1.15,6.03,5.18,4.24,4.53,7.99,4.55,3.98,,5.19,3.2
h_1,26.6,27.96,29.24,25.25,20.4,24.49,1.92,7.52,5.5,5.9,5.15,5.87,13.23,5.0,5.42,3.7
g_1,37.4,27.53,33.45,37.88,33.67,40.46,8.09,1.9,7.85,6.72,5.97,7.88,3.87,5.19,7.12,14.17
c_0,39.34,33.19,19.22,107.1,34.09,35.79,11.65,8.14,2.64,7.91,7.09,7.65,5.54,6.61,6.15,4.87
d_0,32.56,19.3,96.64,43.75,37.27,37.98,10.79,11.79,7.16,2.72,5.79,6.6,5.47,8.37,9.31,5.43
b_0,35.97,36.99,37.41,43.75,79.86,56.39,11.21,11.4,3.5,8.12,2.58,6.36,6.72,8.72,10.68,6.15
f_0,102.08,39.46,43.49,42.55,30.71,46.52,11.81,8.34,8.59,7.91,7.27,2.63,5.69,7.19,8.07,3.29
h_0,53.96,56.37,52.71,50.92,58.23,54.74,27.31,15.2,11.3,10.42,8.46,11.0,18.64,8.91,8.64,8.81
a_0,53.96,45.53,52.71,55.46,59.47,,13.04,15.55,10.92,10.42,6.67,10.56,9.32,2.89,18.15,6.27
e_0,87.84,197.28,49.0,57.52,49.04,50.3,14.81,12.44,13.14,14.2,12.89,6.6,8.37,12.81,2.73,8.15
g_0,80.36,78.91,62.12,58.6,75.54,48.97,13.45,42.75,14.31,14.88,11.57,13.2,8.54,15.19,12.52,27.17
