,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.98,0.93,0.94,0.83,0.9,1.03,0.98,0.97,0.98,0.98,0.83,0.97,0.95,1.09
e_1,0.85,1.0,1.15,0.95,1.04,1.01,1.03,1.36,1.09,0.98,0.98,1.2,0.98,0.97,1.17,1.09
c_1,1.0,0.87,1.0,1.06,1.3,1.0,1.0,0.75,0.97,0.88,0.85,0.92,1.07,0.95,0.82,1.0
d_1,1.07,1.04,0.93,1.0,0.95,0.93,0.99,0.98,0.89,1.24,1.1,0.95,1.0,1.04,0.9,0.83
b_1,1.04,0.97,0.77,1.08,1.0,1.44,1.08,0.92,0.99,1.05,1.01,1.0,1.09,0.86,0.97,0.99
a_1,1.18,0.97,1.04,1.05,0.71,1.0,1.15,1.03,1.13,1.07,1.2,1.05,1.08,1.02,1.09,1.07
h_1,1.07,0.97,1.03,1.0,0.95,0.85,1.0,1.02,1.05,0.95,1.01,0.91,1.01,0.98,1.09,1.16
d_0,0.93,0.73,1.39,0.98,1.07,0.99,0.96,1.0,1.17,0.85,1.02,0.97,1.11,1.07,1.19,0.99
g_1,1.01,0.91,1.03,1.16,1.01,0.88,0.95,0.87,1.0,0.96,0.95,1.09,0.9,1.05,0.96,1.02
c_0,1.01,1.0,1.17,0.8,0.96,0.91,1.03,1.17,1.03,1.0,1.39,1.1,1.22,1.26,1.05,1.03
b_0,1.02,0.99,1.19,0.88,1.02,0.8,1.03,1.01,1.0,0.71,1.0,1.04,1.11,1.5,1.06,0.99
f_0,1.03,0.87,1.04,1.05,1.0,0.98,1.06,1.02,0.87,0.96,0.94,1.0,1.12,1.14,1.53,0.79
h_0,1.2,1.01,0.89,0.99,0.91,0.92,1.01,0.91,1.11,0.86,0.95,0.89,1.0,0.86,0.98,1.06
a_0,1.01,1.03,1.1,0.99,1.06,0.93,0.98,0.96,0.96,0.86,0.68,0.88,1.11,1.0,0.96,1.05
e_0,1.01,0.91,1.15,1.11,1.04,0.88,0.96,0.82,1.05,0.97,0.99,0.63,1.05,1.04,1.01,0.88
g_0,0.92,0.95,1.0,1.2,1.02,0.9,0.86,0.98,0.96,0.99,1.03,1.21,0.95,0.93,1.13,1.0
