,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.93,0.4,0.44,0.33,0.31,0.23,0.34,0.28,0.31,0.59,0.36,0.39,0.4,0.27,0.29,0.34
e_1,0.33,0.91,0.43,0.48,0.35,0.27,0.37,0.63,0.29,0.3,0.3,0.32,0.4,0.21,0.16,0.29
f_1,0.41,0.65,0.92,0.38,0.27,0.23,0.33,0.38,0.28,0.32,0.23,0.31,0.35,0.23,0.15,0.25
c_1,0.4,0.41,0.38,0.91,0.55,0.22,0.35,0.37,0.25,0.23,0.3,0.23,0.36,0.22,0.21,0.35
b_1,0.41,0.4,0.36,0.41,0.9,0.47,0.38,0.33,0.24,0.32,0.32,0.26,0.32,0.19,0.24,0.36
a_1,0.43,0.38,0.41,0.36,0.34,0.89,0.36,0.41,0.34,0.39,0.36,0.35,0.41,0.18,0.27,0.31
h_1,0.47,0.44,0.57,0.44,0.31,0.22,0.64,0.4,0.38,0.35,0.33,0.31,0.3,0.28,0.24,0.38
d_0,0.36,0.44,0.42,0.66,0.42,0.26,0.38,0.54,0.27,0.26,0.35,0.29,0.36,0.22,0.25,0.33
g_1,0.64,0.39,0.39,0.4,0.32,0.24,0.34,0.39,0.64,0.37,0.49,0.35,0.39,0.31,0.32,0.3
c_0,0.51,0.45,0.49,0.38,0.25,0.24,0.42,0.41,0.3,0.56,0.37,0.63,0.43,0.35,0.29,0.37
f_0,0.49,0.38,0.39,0.44,0.39,0.3,0.38,0.42,0.35,0.37,0.53,0.33,0.41,0.28,0.49,0.34
b_0,0.49,0.45,0.51,0.48,0.23,0.23,0.36,0.43,0.31,0.36,0.37,0.53,0.42,0.5,0.31,0.36
h_0,0.52,0.47,0.56,0.4,0.3,0.24,0.28,0.41,0.35,0.34,0.32,0.33,0.33,0.26,0.26,0.41
a_0,0.49,0.44,0.5,0.43,0.32,0.17,0.43,0.42,0.33,0.41,0.39,0.3,0.42,0.49,0.31,0.38
e_0,0.56,0.29,0.51,0.4,0.36,0.26,0.41,0.37,0.3,0.38,0.35,0.33,0.43,0.3,0.48,0.38
g_0,0.67,0.38,0.41,0.39,0.33,0.26,0.34,0.34,0.26,0.37,0.51,0.35,0.39,0.28,0.27,0.33
