,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.38,0.91,0.99,0.83,0.58,0.63,0.6,0.81,0.6,0.83,,0.54,0.44,0.49,0.51
e_1,0.73,1.0,1.03,0.99,0.75,0.99,0.8,0.75,0.76,0.78,0.47,0.6,0.53,0.65,,0.62
d_1,1.1,0.97,1.0,0.88,0.9,0.89,0.65,,0.54,1.01,0.62,0.56,0.66,0.68,0.6,0.38
c_1,1.01,1.01,1.13,1.0,1.12,1.06,0.85,0.5,0.49,,0.68,0.71,0.82,0.54,0.6,0.47
b_1,1.21,1.33,1.12,0.89,1.0,,0.86,0.81,0.69,0.59,,0.44,0.53,,,0.44
a_1,1.71,1.01,1.13,0.94,,1.0,0.65,1.02,,1.03,0.8,0.87,0.64,,,0.8
h_1,1.6,1.25,1.53,1.18,1.16,1.53,1.0,0.96,1.52,0.83,0.72,0.74,,0.62,0.74,1.02
d_0,1.68,1.34,,1.99,1.23,0.98,1.04,1.0,0.83,1.0,0.93,0.8,0.82,0.85,0.71,1.03
g_1,1.24,1.32,1.85,2.02,1.45,,0.66,1.21,1.0,0.97,0.95,1.17,0.85,0.76,0.83,
c_0,1.66,1.28,0.99,,1.69,0.97,1.2,1.0,1.03,1.0,1.24,0.87,0.98,0.87,0.87,1.19
b_0,1.2,2.15,1.6,1.48,,1.25,1.4,1.08,1.05,0.81,1.0,1.1,0.95,1.32,1.07,0.69
f_0,,1.66,1.78,1.42,2.25,1.15,1.34,1.25,0.86,1.15,0.91,1.0,1.02,0.82,1.28,0.67
h_0,1.85,1.9,1.51,1.21,1.88,1.56,,1.22,1.18,1.02,1.06,0.98,,1.21,1.06,1.08
a_0,2.28,1.55,1.48,1.87,,,1.61,1.18,1.32,1.15,0.76,1.22,0.83,1.0,,0.9
e_0,2.05,,1.66,1.66,,,1.35,1.41,1.2,1.15,0.94,0.78,0.94,,1.0,
g_0,1.97,1.61,2.64,2.12,2.27,1.25,0.98,0.97,,0.84,1.46,1.5,0.92,1.11,,
