,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.04,1.1,1.67,1.44,1.55,1.26,0.59,0.56,0.59,0.44,0.5,0.43,0.36,0.41,0.35,0.47
f_1,1.76,1.04,1.6,1.32,1.4,1.41,0.49,0.52,0.56,0.44,0.46,0.4,0.28,0.36,0.35,0.32
c_1,1.37,1.69,1.05,1.99,1.83,1.38,0.64,0.34,0.54,0.53,0.42,0.44,0.41,0.4,0.41,0.37
d_1,1.89,1.91,1.55,1.04,1.5,1.21,0.58,0.61,0.43,0.54,0.46,0.54,0.34,0.45,0.29,0.36
b_1,1.82,1.95,1.2,1.98,1.05,1.8,0.71,0.55,0.68,0.67,0.53,0.66,0.41,0.5,0.36,0.46
a_1,2.42,2.52,2.19,2.46,1.38,1.05,0.96,0.8,0.9,0.8,0.84,0.96,0.58,0.66,0.54,0.75
h_1,4.17,4.57,4.2,4.05,3.77,3.37,1.22,1.28,1.52,1.16,1.11,1.12,1.05,0.94,0.85,0.9
d_0,3.42,4.48,5.94,5.69,5.12,4.11,2.07,1.33,1.78,1.24,1.34,1.22,1.29,1.19,1.06,1.2
g_1,4.99,5.36,5.35,5.4,4.6,3.69,1.58,1.75,1.26,1.58,1.44,1.44,0.98,1.15,1.19,1.15
c_0,5.83,5.56,7.36,3.81,4.89,4.28,2.15,2.4,1.81,1.33,1.49,1.69,1.18,1.5,1.02,1.35
f_0,5.58,7.09,6.06,5.7,5.35,4.16,2.29,1.85,1.54,1.66,1.37,1.73,1.42,1.38,0.94,1.82
b_0,6.12,6.37,7.98,5.1,6.28,5.02,2.54,2.13,2.19,1.24,1.57,1.33,1.32,1.73,1.14,1.52
h_0,7.05,8.14,6.54,7.05,6.63,5.58,3.02,2.26,2.8,2.18,1.84,2.12,1.8,1.87,1.61,1.69
a_0,7.64,8.04,7.99,7.41,7.47,8.48,3.37,2.47,3.05,1.98,2.04,1.45,1.74,1.46,1.59,1.71
g_0,7.99,8.44,7.75,7.9,8.44,6.74,2.96,2.63,3.07,2.51,2.34,2.42,1.52,2.13,1.88,1.84
e_0,9.2,9.63,9.86,8.6,7.82,6.38,3.36,2.73,3.04,2.74,1.56,2.42,1.93,2.0,1.63,1.52
