,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.17,0.79,0.67,0.74,0.64,0.57,0.16,0.11,0.12,0.27,0.13,0.11,0.09,0.07,0.12,0.1
e_1,0.66,0.17,0.36,0.79,0.68,0.6,0.28,0.25,0.14,0.16,0.16,0.14,0.1,0.1,0.15,0.31
f_1,0.63,0.63,0.16,0.64,0.61,0.64,0.14,0.19,0.12,0.12,0.13,0.25,0.07,0.1,0.12,0.13
c_1,0.86,0.54,0.64,0.15,0.66,0.64,0.22,0.22,0.28,0.07,0.12,0.12,0.09,0.11,0.11,0.14
b_1,0.65,0.66,0.83,0.35,0.13,0.67,0.17,0.19,0.2,0.17,0.3,0.16,0.1,0.11,0.13,0.12
a_1,0.72,0.61,0.72,0.77,0.32,0.09,0.23,0.2,0.15,0.16,0.21,0.17,0.13,0.09,0.57,0.15
h_1,0.49,0.48,0.51,0.54,0.61,0.52,0.06,0.17,0.11,0.1,0.11,0.11,0.12,0.08,0.12,0.1
g_1,0.51,0.55,0.57,0.52,0.56,0.5,0.11,0.05,0.11,0.13,0.11,0.1,0.06,0.12,0.11,0.1
c_0,0.28,0.48,0.63,1.25,0.63,0.49,0.14,0.18,0.06,0.15,0.11,0.1,0.09,0.07,0.12,0.11
d_0,0.75,0.29,0.55,0.55,0.59,0.54,0.16,0.26,0.11,0.06,0.1,0.1,0.08,0.08,0.13,0.12
b_0,0.39,0.45,0.5,1.0,0.87,0.51,0.15,0.16,0.05,0.12,0.05,0.1,0.07,0.07,0.13,0.1
f_0,0.44,0.47,0.74,0.65,0.56,0.46,0.15,0.12,0.12,0.12,0.12,0.05,0.09,0.04,0.11,0.1
h_0,0.45,0.55,0.58,0.46,0.53,0.45,0.23,0.17,0.1,0.11,0.1,0.1,0.12,0.08,0.09,0.1
g_0,0.43,0.52,0.62,0.53,0.52,0.59,0.11,0.24,0.1,0.1,0.1,0.11,0.05,0.11,0.1,0.11
a_0,0.48,0.52,0.57,0.5,0.84,0.76,0.14,0.12,0.09,0.11,0.05,0.1,0.09,0.07,0.04,0.1
e_0,0.54,0.72,0.63,0.42,0.52,0.51,0.13,0.12,0.1,0.11,0.11,0.06,0.07,0.07,0.12,0.04
